塞北镇羌堡=>2022-03-27 12:20:25=>274=>有被问责吗，好搞笑
陈鑫太极=>2022-03-27 12:22:40=>6=>没有追责很难改变
西安拆了十五年不给房=>2022-03-27 14:24:11=>4=>西安拆迁十三年不给房，一分钱过渡费不给。.
是你呀嗨=>2022-03-27 12:21:54=>6=>快去看看闵行区吧救救他们吧管管他们吧
马饲图=>2022-03-27 12:23:13=>5=>计生办，说你什么好呢？请把这一条，提前写到防疫政策法规里面去，这种马后炮只能是让人怀疑是好话说尽。
唯Love晨熙=>2022-03-27 13:32:24=>2=><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
PigflowerZ=>2022-03-27 13:56:27=>2=>刚刚听医生说 这段时间谁大病<span class="url-icon"><img alt=[悲伤] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c95268c034.png" style="width:1em; height:1em;" /></span>肿瘤之类的 都不能入院治疗，在家等死<span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span>。现在护士的事情，终于把卫健委敲响了<span class="url-icon"><img alt=[悲伤] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c95268c034.png" style="width:1em; height:1em;" /></span> 简直没有人性。反正死的不是他 。
重拾_狗狗祟祟的快乐=>2022-03-27 12:46:03=>1=>支持
月下独舞剑魂殇=>2022-03-27 12:38:37=>2=><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>连问责都没有。谁听你的
Andy鹿子=>2022-03-27 12:20:44=>1=>生命至上，尊重生命🙏
团团永远三岁没有予=>2022-03-27 12:35:01=>5=>看到这新闻还是忍不住夸我们深圳卫健委。疫情防控区第一时间就发关于特殊人群就医通道的通知。希望疫情早日散去。大家都能正常生活。
思念刻在了墙和瓦=>2022-03-27 12:25:22=>3=>只要不死于新冠<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
SusanAlina2017=>2022-03-27 22:07:15=>0=>话虽如此，听说有的重灾区，有基础疾病的老人想看病买药居委会都不理，这报道没什么效果哎
小俊和小哲=>2022-03-27 18:06:39=>0=>希望能落实好！
daxinan123456=>2022-03-27 17:14:02=>0=>哪有空问责之类的，赶快抢菜吧，晚了茄子就没了，只剩下姜了！
青聚锦官城=>2022-03-27 13:57:41=>0=>【<span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%AB%E5%81%A5%E5%A7%94%E5%86%8D%E6%AC%A1%E5%BC%BA%E8%B0%83%E4%B8%8D%E5%BE%97%E6%8E%A8%E8%AF%BF%E6%8B%92%E7%BB%9D%E6%82%A3%E8%80%85%23&extparam=%23%E5%8D%AB%E5%81%A5%E5%A7%94%E5%86%8D%E6%AC%A1%E5%BC%BA%E8%B0%83%E4%B8%8D%E5%BE%97%E6%8E%A8%E8%AF%BF%E6%8B%92%E7%BB%9D%E6%82%A3%E8%80%85%23" data-hide=""><span class="surl-text">#卫健委再次强调不得推诿拒绝患者#</span></a>】
唉俺喜欢你=>2022-03-27 13:51:42=>0=>啊。。。
赶走坏情绪-=>2022-03-27 13:44:12=>0=>支持<span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
ID喝奶茶的小糖糕=>2022-03-27 13:42:06=>0=>支持
与贤微醺=>2022-03-27 13:36:04=>0=>生命至上
楠瓜栗子蛋糕=>2022-03-27 12:59:42=>0=>。。
snake4587900=>2022-03-27 12:51:10=>1=>欢迎来长春。我们啥保障都没有，只保障乌纱帽
光彩的云=>2022-03-27 12:36:26=>1=>现在的防疫注重形式，不注重疫情的变化而科学的调整。
是小羊苏茜=>2022-03-27 12:36:01=>0=>支持
_阿苏姑娘=>2022-03-27 12:22:37=>0=>地头蛇
一是李艾儿啊=>2022-03-27 17:48:02=>1=>管管网红医生吧
小KUN_225=>2022-03-27 13:51:55=>1=>本末倒置，因噎废食
星星瓶里的颖子=>2022-03-30 09:02:40=>0=><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
月娘_贝利亚纳=>2022-03-30 02:00:47=>0=>强调就说明之前说过了，但是还有不执行的<span class="url-icon"><img alt=[并不简单] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_bingbujiandan-9955880b30.png" style="width:1em; height:1em;" /></span>
小当米虫在售=>2022-03-29 18:28:31=>0=>吉林还能不能好了<span class="url-icon"><img alt=[悲伤] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c95268c034.png" style="width:1em; height:1em;" /></span>
荷兰男孩FX=>2022-03-28 11:11:32=>0=>给谁听的，孕晚期站在你面前都不让入院就诊，就这……
百合满庄=>2022-03-28 08:46:13=>0=>继续粉饰太平继续说话好听 将帅无能累死三军
深浸deep=>2022-03-28 08:28:53=>0=>好
叫我小L就好=>2022-03-28 00:56:08=>1=>不得推诿？！<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>难道要求分流血透患者的不是卫健委和疾控吗？从头到尾医院只是个执行人而已，每一次出现封院，何时解封，血透室何时能用不都是上报疾控以后医院等回复。上面说停医院就停，上面说开医院才敢开。现在这样发消息，闹得好像是医院不肯接似的。
淡淡威严_=>2022-03-28 00:23:36=>0=>支持支持支持支持支持支持支持支持
便一去不回fighting=>2022-03-27 23:51:49=>0=>算了，受够了
Carrie爱吃冰激凌=>2022-03-27 21:59:20=>0=>能管管上海精准防疫吗
邱05326=>2022-03-27 19:42:53=>0=>转发
一枚胖汤圆=>2022-03-27 17:58:52=>0=>明珠人民被坑苦了
位面领主=>2022-03-27 17:27:09=>1=>我家是腹透的，是没人阻止去医院，但是药我也运不回来，没有车，一箱35斤，12箱。
耕不读=>2022-03-27 16:51:21=>0=>自己员工都拒绝救治，何况他人？
争做新青年123=>2022-03-27 16:22:41=>0=>152
无糖仙女_=>2022-03-27 15:25:12=>0=>说好的平等对待生命不放弃任何一个人呢，可是医院拒诊得其他病的患者，不就相当于放弃了体弱的那部分人嘛，只是换了一种放弃名单的划分方式而已，那还不如就放开，大家都凭本事活，适者生存
一身猫猫喂=>2022-03-27 14:53:31=>0=>就一定得踩着前人的血
安逸惨了啊=>2022-03-27 14:41:49=>0=>推诿了又能怎么样？你能抓它吗？你能起诉吗？这都多少次了？
星辰大海jzh=>2022-03-27 14:38:27=>0=>就不执行 有什么办法   这事又不是一两次了
会不会的冷萃麦=>2022-03-27 14:33:24=>0=>会落实吗？家人急需化疗，现在上海第九人民医院以管控为由，无法入院治疗，怎么解决呢？
星星點點耀陽=>2022-03-27 14:28:23=>0=>有用也不用时不时强调了<span class="url-icon"><img alt=[污] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_wu-374e5572e8.png" style="width:1em; height:1em;" /></span>
巨屹=>2022-03-27 14:07:04=>0=>你也就说说吧
想念的声音vv=>2022-03-27 13:45:18=>0=>脱离人民群众越来越远了
青青火木=>2022-03-27 13:39:46=>0=>到下面一刀切，没外出也核酸检测，交叉测试，感染谁保证<span class="url-icon"><img alt=[作揖] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-519f80d31c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[作揖] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-519f80d31c.png" style="width:1em; height:1em;" /></span>
慵懒好奇小猫=>2022-03-27 13:39:26=>1=>我不听 不行 不让进 上面有规定的 <span class="url-icon"><img alt=[悲伤] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c95268c034.png" style="width:1em; height:1em;" /></span>
摆渡人生漫漫路=>2022-03-27 13:32:30=>0=>只是说，谁落实，不落实说得天花乱坠又怎样？<span class="url-icon"><img alt=[鄙视] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_bishi-f968a20e34.png" style="width:1em; height:1em;" /></span>
贪鱼的瞄=>2022-03-27 13:18:02=>1=>没有监察手段，根本管不到
上校不是鸡块_=>2022-03-27 13:16:44=>1=>照样还是有非新冠患者因得不到及时治疗而..
自茹自如=>2022-03-27 13:15:20=>0=>你好 关注一下山西财经大学女生猝死的事情吧
飞来飞去的马甲1=>2022-03-27 13:13:36=>0=>都停诊了，急诊里没医生，拒绝不拒绝不都一样。应该是开的那些，信息要放出来，给有需要的人能及时用上。而不是一问三不知，不知道去哪
我只是有点调皮=>2022-03-27 13:10:27=>0=>能执行吗
我是你呵爷爷=>2022-03-27 13:08:56=>0=>线下给人家一巴掌，线上来喂颗糖。
重口味蜀黍=>2022-03-27 13:08:09=>0=>在搞笑么……小区权利者“物业”，不允许你出去……也不允许你进来……<span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span>怎么去看病<span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span>
依旧飞飞=>2022-03-27 13:05:57=>0=>一地又一地的强调<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
每天想吃泡菜鱼=>2022-03-27 13:03:49=>0=>狠狠支持
早安吉祥198106=>2022-03-27 13:03:40=>0=>　　甘肃甘谷何鸿吉居士提倡念佛，凡念佛处，疫不入境。汝邀净友念，是小办法。教全村中老幼男女念，是大办法。顶好吃净素，如其不能，亦须少吃。即未吃素，亦要念…(印光大师文钞摘.欢迎转发，功德无量.)🙏 南无阿弥陀佛，南无阿弥陀佛，南无阿弥陀佛……
微博任丘=>2022-03-27 13:00:44=>0=>转发微博
暗夜里行走的无所畏惧女士=>2022-03-27 12:56:44=>0=>需要48小时核酸，没有不让去产检，唉
神留湖=>2022-03-27 12:55:41=>0=>全国应该支援上海了!
沉寂的雨林=>2022-03-27 12:49:23=>0=>国家卫健委管不了上海？
吃你蛋糕了嘛=>2022-03-27 12:44:23=>0=>乌纱帽可比人命重要，就是一刀，切切切
悟学求往生=>2022-03-27 12:43:33=>0=>问题就是没人管啊
我是小磊落=>2022-03-27 12:41:01=>0=>说的比唱的好听
水无痕201307=>2022-03-27 12:38:49=>0=>但是，应该推诿的比较多啊
·桃花落满山前_=>2022-03-27 12:36:11=>0=>支持
成为一只猫_=>2022-03-27 12:34:38=>0=>发生院感问题 卫健委给医院担责吗<span class="url-icon"><img alt=[挖鼻] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-816c4e8890.png" style="width:1em; height:1em;" /></span>
狗莮人=>2022-03-27 12:33:19=>1=>上级要求必须要核酸检测，现在又要求不得推诿，听谁的？
文小文de微博=>2022-03-27 12:32:42=>0=>上海：我听不懂你在讲什么啦
江湖人要隐姓埋名=>2022-03-27 12:31:25=>0=>北京健康宝弹窗三纠错投诉八百遍都没有用，大量赴京就医的群众被阻挡在外，还不是变相拒绝患者🤮
思考喵生_老药儿=>2022-03-27 12:30:25=>0=>各级医院医护要负责医院各个科室基本运行，要保证医院基本收入，还要负责疫情防控，人手不够就一个人掰成几个人用，不少人都是上班防疫连轴转，在重压之前也要想想人力分配啊说真的
远藤贤知为什么不让改昵称=>2022-03-27 12:30:10=>0=>支持国家，支持政府，一定能打赢这场疫情攻坚战！
翧Dad=>2022-03-27 12:27:20=>0=>你说你的前门楼子，我做我的胯骨轴子
x_coffee_=>2022-03-27 12:23:39=>0=>请@ 上海各级医院
内娱404=>2022-03-27 12:21:19=>0=>支持落到实处<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
我能起什么名字啊=>2022-03-27 12:20:58=>0=>上面有上面的说，下面就是不接病人，还能怎么样
郁金香之寒=>2022-03-27 12:18:49=>0=>生命至上
江月林=>2022-03-29 14:01:37=>0=>你这话说的还不如放个屁有味
绝世狗勾=>2022-03-27 12:57:57=>4=>强调有什么用，你出文件啊 不要就说说，你文件下来，明确权责，医生只管治病救人完事，不然到时候又啥都怪一线医护人员…
保佑我找到工作给你充会员=>2022-03-27 15:44:52=>1=>你可以因为其他病死，但不能因为疫情死
挂满幸运星_dream=>2022-03-27 15:01:33=>0=>支持<span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span>
黄昏之贼-潭州府lllggg=>2022-03-27 14:41:50=>0=>希望有严苛的法律制度来保证 下面的地方政府真正落实。
多云转晴xx=>2022-03-27 14:22:30=>0=>别光说，得落实
綾雀=>2022-03-27 13:44:36=>0=>地方政府和医院并不接受中央的要求
北贝儿-=>2022-03-27 13:07:40=>1=>支持
小五-是我=>2022-03-27 13:06:27=>0=><span class="url-icon"><img alt=[失望] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-b4bf17068f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[失望] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-b4bf17068f.png" style="width:1em; height:1em;" /></span>
今晚吃芋圆o=>2022-03-27 12:35:13=>0=>支持国家
最烦男人画饼=>2022-03-28 10:44:20=>0=>支持
彼岸凌雲=>2022-03-27 15:35:02=>0=>没有法律战果，说了也白说。
超爱吃红豆沙e=>2022-03-27 14:32:08=>0=>推诿了 你能拿人家怎么样呢<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
粑粑超人86变身蛋蛋超人ing=>2022-03-27 14:19:50=>0=>图片评论
粑粑超人86变身蛋蛋超人ing=>2022-03-27 14:17:09=>2=>共青团中央 你的口号，麻烦你们看一下！！！
熊猫儿有话说=>2022-03-27 13:33:41=>0=>人没了，人没了，人没了
我是宣哥别惹我=>2022-03-27 13:29:59=>0=>吉林菜价贵的离谱，有人管了么？
谁都不要碰我沈兰舟=>2022-03-27 12:52:12=>0=>强调了那么多次，疫情三年了，还是这样，说明你们只会口头说。有人说，只要不是因为疫情死的，管你怎么死。
deatheart001=>2022-03-27 12:43:53=>3=>强调了半天，如果真被拒了，找谁投诉？如果医院不拒绝，造成疫情传播谁来负责任？你们能不能出个相关的标准流程，责任细化一下，你这强调了，医院怕承担责任，不知所措。患者投诉无门，还是不知所措。所以，这强调有个P用？
踏遍陇陌分=>2022-03-27 12:43:42=>0=>推诿
Y锦锦=>2022-03-27 12:43:22=>0=>。
开始制冷=>2022-03-27 12:36:58=>0=>还吃零食吗 笑死
-暖暖ovo=>2022-03-27 12:36:28=>0=>看看山西财经大学死去的孩子吧<span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span>她的爸爸还在坐轮椅，学校一直花钱降热搜不给看监控<span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
情场小飞侠=>2022-03-27 12:33:04=>0=>传播疫情立法严办了，人家推诿拒绝患者又不违法，搁你你选哪个？
yxm猩猩=>2022-03-27 12:26:12=>0=>明哲保身
你一定要很努力才可以=>2022-03-27 12:25:02=>0=>最起码要严厉的处罚
klmyzkq=>2022-03-27 12:22:25=>0=>转发微博
