摘星不养花=>2023-07-10 17:05:59=>120=>老美已疯
FunnyKk_=>2023-07-11 01:42:50=>1=>省流：还是那句话，战至最后一个乌克兰人<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
塞北镇羌堡=>2023-07-10 17:09:27=>1=>美国一开始就说过了“战斗至最后一个乌克兰人”<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
一蚊哥=>2023-07-11 10:57:36=>0=>那按这个逻辑，其他大杀器俄罗斯也可以上了？而且是可以对美上了？
吃个苹果ah=>2023-07-11 09:09:51=>0=>俄内政，关你老美啥事<span class="url-icon"><img alt=[汗] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_han-d8ebda66d3.png" style="width:1em; height:1em;" /></span>
菩提GWG=>2023-07-11 07:40:52=>1=>平民只是工具
喜欢ab猫=>2023-07-11 07:22:59=>0=>。。。。
好吃的土豆包=>2023-07-11 06:52:45=>0=>那就请美国多炸点美国的平民<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
原名被莫名封号=>2023-07-11 03:45:54=>0=>西方及他们的支持者支持美方观点
BAKA20132006=>2023-07-10 22:50:02=>0=>天灭盎撒人，等着瞧
各种等各种买各种期待=>2023-07-10 22:18:31=>0=>真就脸都不要了
吃在肚里=>2023-07-10 21:54:20=>0=>认真落实“战到最后一个乌克兰人”的口号
言长夏=>2023-07-10 21:51:47=>0=>啊<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>
成都宋勇135411111101a=>2023-07-10 21:37:51=>1=>北约制造俄乌冲突的目的就是用战争拖垮、并达到打败俄罗斯的目的！！！……然后肢解俄罗斯联邦，再将俄罗斯丰富的各种资源和财富据为己有，北约国家分而食之……哈哈<span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span>……
x星辰大海=>2023-07-10 21:33:45=>0=><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>乌🐔等下就急了
少女少女少女漫=>2023-07-10 19:55:31=>0=>……疯了<span class="url-icon"><img alt=[作揖] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-519f80d31c.png" style="width:1em; height:1em;" /></span>
矢雾织甜=>2023-07-10 19:53:00=>0=>我觉得世界和平挺重要的 希望能一直维持下去
用户冷眼看霉=>2023-07-10 19:01:08=>0=>平核霉国佬<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
布朗峰环状线=>2023-07-10 18:47:55=>0=>泽连斯基是犹太人。杀光了乌克兰人，乌克兰就属于犹太人了<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
斯卡帕湾的铁公爵=>2023-07-10 18:17:07=>1=>请问天天误炸平民打赢阿富汗伊拉克了吗<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
星空下的稲草人=>2023-07-10 18:08:33=>0=>宁愿错杀1000也不放过漏网之鱼<span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
某天盛夏=>2023-07-10 18:08:30=>0=>疯了<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
MOMOMOMENT=>2023-07-10 18:01:51=>1=>《人权》
青柠云片糕=>2023-07-10 17:58:31=>0=>死的是乌克兰人又不是美国人
杭小萸=>2023-07-10 17:55:56=>0=>装都不装了<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
讷讷的工程师=>2023-07-10 17:49:02=>0=>看来人权不过是遮羞布
那葉稍翁待沽=>2023-07-10 17:30:31=>1=>在自己地里使用比先去别人家使用理！ 能够尽早结束战争，道！
鱿鱼小圆-y=>2023-07-10 17:15:08=>0=><span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span>
吃泡泡的喵星人=>2023-07-10 17:14:31=>0=><span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
阳羡清溪=>2023-07-10 17:14:19=>0=>基本魔鬼了。沙利文长相也像美剧中的吸血鬼
Dizzzzzzzzzy=>2023-07-10 17:11:31=>3=>是不是把中英文完整版采访放出来更合适些
远离天堂=>2023-07-10 17:10:19=>0=>人权高于主权就不提了。
神仙柿子=>2023-07-10 17:06:16=>0=>这下不装了
ESINJAY=>2023-07-10 17:04:52=>0=>对于美猪太合理了
喂特某门特=>2023-07-10 17:04:18=>0=>能评论？
好环境喔士=>2023-07-10 20:11:59=>0=>唉美团
精神病院首席护工=>2023-07-10 17:03:52=>0=>都不装了是么？
可是拿不到几十块=>2023-07-10 23:43:24=>0=>“比起亲自动手杀人，拱火罪过更大”
三年级拿到自行车驾照=>2023-07-10 19:38:44=>0=>集束炸弹早在去年就已经被俄军用在了俄乌战事中。
长棍面包与布里欧修=>2023-07-10 18:48:59=>0=>鹰酱说出这话毫不意外，反正每年那么多鹰酱平民死于枪击他们也只是当党争筹码，实际干啥来着<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
游骑兵的星空=>2023-07-10 17:15:25=>2=>《代价》作者：🇺🇸
李建球的丗界=>2023-07-10 17:06:38=>0=>昂撒魔鬼根本不配做人
张诚宇0920=>2023-07-11 11:44:56=>0=>强盗逻辑，祖传
帥到妳窝很葆芡=>2023-07-11 11:09:47=>0=>6
0莒子0=>2023-07-11 07:17:06=>0=>穷凶极恶
小猪佩奇ing_=>2023-07-11 06:49:05=>0=>一贯作风，正常操作
Over-温霜憶初鸢-=>2023-07-10 22:08:16=>0=>美国做个人吧
絮念红=>2023-07-10 21:47:15=>0=>服了
wabi-afour=>2023-07-10 21:19:50=>0=>疯了<span class="url-icon"><img alt=[黑线] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png" style="width:1em; height:1em;" /></span>
树遇风铃夏=>2023-07-10 21:07:16=>0=>我的天哪
粤南北=>2023-07-10 20:42:00=>0=>握草，美国人还是人吗<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
鮖鋀=>2023-07-10 20:06:12=>0=>的确啊，死的又不是霉国人……它自然不在乎
景语0727=>2023-07-10 18:53:17=>0=>霉利奸人权报告<span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span>
天书散落人间成预言=>2023-07-10 18:52:21=>1=>美国丧失了最起码的良知！然而，美国别得意：美国给世界带来无尽的灾难，最终只会自取灭亡！早在十多年前，中国预言大师就告诉我：俄乌冲突，俄罗斯获胜。在第二时间维上，未来世界的一切，都可以随时“点播”，甚至包括未来世界人们的梦境。所以，美国以乌克兰为炮灰打代理人战争，注定了以失败告终。
慕月i_=>2023-07-10 18:49:06=>0=><span class="url-icon"><img alt=[羞嗒嗒] src="https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png" style="width:1em; height:1em;" /></span>
是眼泪沸腾的味道=>2023-07-10 18:36:19=>0=>来道天雷劈了美狗吧
玲娜贝儿超可爱cute=>2023-07-10 18:02:24=>0=>说的人话？<span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[兔子] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png" style="width:1em; height:1em;" /></span>
叮当小圆_=>2023-07-10 17:55:55=>0=>妈呀
深浅爱深=>2023-07-10 17:29:35=>0=>心里话
颂妮詩=>2023-07-10 17:20:22=>0=>疯了
小秋爱吃樱桃a=>2023-07-10 17:20:00=>0=>以民为本，方能兴国。
纸鲨鱼_R=>2023-07-10 17:19:47=>0=>服了
梨园湾十一星=>2023-07-10 17:17:51=>0=><span class="url-icon"><img alt=[黑线] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png" style="width:1em; height:1em;" /></span>
林夕梦唐初=>2023-07-10 17:17:39=>0=>啧啧啧
Yubsufuu=>2023-07-10 17:17:01=>0=>😅
聆风听祎-=>2023-07-10 17:11:09=>0=><span class="url-icon"><img alt="[彩虹屁]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4b/2022_praise_org.png" style="width:1em; height:1em;" /></span>
Aweny-祎文绾=>2023-07-10 17:10:48=>0=><span class="url-icon"><img alt=[思考] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-ff9602dd08.png" style="width:1em; height:1em;" /></span>
Nqm7=>2023-07-10 17:05:50=>1=>美帝这算承认是代理人战争了吧
群玉山月下逢=>2023-07-10 17:04:48=>0=><span class="url-icon"><img alt=[黑线] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png" style="width:1em; height:1em;" /></span>
