逍遥修改了昵称=>2023-04-14 19:20:21=>242=>为当地渔民的警惕性点赞
zhiying猪=>2023-04-14 21:24:13=>1=>其心可诛！！欺人太甚！！
佟夏_=>2023-04-14 20:53:18=>1=>严查严惩
荔湘超市=>2023-04-14 22:47:48=>2=>大概率是为日本间谍服务的
飘云如海-咪咕=>2023-04-15 15:06:16=>1=>以后不管是什么个人或者企业来要安装什么检测什么，让政府相关人员陪同吧，否则一概拒绝。
不太爱码字的小不点圆圆=>2023-04-15 08:09:04=>1=>民众提高警惕遇到可疑设备有报警意识就是保护咱自己的家园不受侵犯了，挺好的<span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
原来还有回忆=>2023-04-15 07:58:59=>1=>太可怕呀，反华势力明目张胆，无孔不入，进入中国从事间谍活动，值得全体中国人民的警惕
冥空1986=>2023-04-15 05:19:01=>1=>“多年来世界强盗在中国多有斩获，故恶敌觊觎长存、忘我之心不死。”——《心之力》 警惕，警惕，警惕！！！
大愿菩提心=>2023-04-14 22:32:38=>1=>抓，一个都不要漏掉
夜色景阑=>2023-04-14 22:08:04=>1=>外籍人员
镜子敏敏=>2023-04-15 15:47:01=>0=>为你点赞
枕头下的大砖头o=>2023-04-15 13:46:31=>0=>国家安全高于一切<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
星星拿铁_吧唧一口九=>2023-04-15 10:38:36=>0=>维护国家安全人人有责
朝暮岁辰伴非凡=>2023-04-15 09:12:07=>0=>提高警惕！
四两跑贼快=>2023-04-15 05:44:15=>0=>时刻保持警惕性
小霖妻=>2023-04-14 19:11:14=>0=>严查严惩
1amanda0=>2023-08-21 16:18:25=>0=>电脑数据传输国外，这个正常吗？
逻格斯曙光=>2023-04-17 17:13:37=>0=>内奸无期加抄家，外敌也要牢底坐穿
你再不来我这里就下雪了=>2023-04-15 15:17:20=>0=>哪有免费的午餐？！都是可怕的陷阱！
立聪堂助听器蚌埠淮河路店=>2023-04-15 11:34:59=>0=>点赞<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
Dylan_dilun=>2023-04-15 11:25:52=>0=>i
花花花花花就啊=>2023-04-15 11:09:22=>0=>海外的兄弟们 祖国也需要你们
语是天使_逆光而来=>2023-04-15 10:39:15=>0=>美国鬼子搞的
Mk76839=>2023-04-15 10:23:55=>0=>已经被渗透成筛子了
天真无邪小疯狗=>2023-04-15 10:06:11=>0=>每个中国人都要有警惕性，防人之心不可无。
雪崧-=>2023-04-15 08:33:21=>0=>严惩不贷
喵了1夏=>2023-04-14 22:22:34=>0=>张先生大写的👍！间🕵黄某为了利益出卖国家必须严惩！
菠萝奶妍=>2023-04-14 21:14:14=>0=><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
不惧岁月长900=>2023-04-14 20:35:42=>0=>严查
无敌好吃香菜=>2023-04-14 20:25:45=>1=>严查
小狗也在哭泣_=>2023-04-14 20:23:55=>1=>严查
大号走丢了=>2023-04-14 20:11:46=>0=>提高警惕！
砂糖柑橘味=>2023-04-14 19:31:58=>0=>养殖啊 我还以为是养殖呢<span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span>
清浊198409=>2023-04-14 19:28:19=>0=>妈的，间谍杀无赦
尽支寒_yi=>2023-04-14 19:16:36=>0=>严查严惩
启程54211=>2023-04-14 19:15:48=>0=>可怕
明天之后606792441=>2023-04-15 10:36:23=>0=>帝国亡我之心还在
答辩原神剧情还不能跳过=>2023-04-15 07:11:20=>0=>自己的核废水随便往海里排，现在关心别人水质了，想想都不太可能<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
田田的果实=>2023-04-14 23:06:13=>0=>警惕性很好
伪装草=>2023-04-14 21:09:49=>0=>25公里远，这么厉害？<span class="url-icon"><img alt=[吃惊] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chijing-59b444adb6.png" style="width:1em; height:1em;" /></span>
flip201803=>2023-04-14 19:45:13=>0=>有这样的好事啊，送上门的50万
试试可以改几次=>2023-04-14 19:32:31=>0=>可恶
裎揶=>2023-04-14 19:29:24=>0=>严查
你要吃瓜子吗_ok=>2023-04-14 19:13:48=>0=>严查
倚天抽剑666=>2023-04-15 17:01:12=>0=>//祥康驿站:张先生警惕性高。必须大写的赞。
猫_1372=>2023-04-15 10:49:40=>0=>警惕性高的
携霜屿你彤行yt=>2023-04-15 09:37:00=>0=>严查严惩
偶尔路过1988=>2023-04-15 08:58:45=>0=>国家安全重于一切
狂士77=>2023-04-15 08:30:29=>0=>报道出来会不会打草惊蛇
-你今天想時團了没-=>2023-04-15 07:37:45=>0=>严查
眼睛为你写情诗=>2023-04-15 07:32:55=>0=>维护国家安全
大恼鼠和小福泥=>2023-04-15 01:38:38=>1=><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>这些外国人会好心到免费帮你安装东西 想什么呢
jinzhai123456789=>2023-04-15 01:35:37=>0=>间谍罪量刑太轻了，呼吁提高刑期，震慑罪犯！
朝吃年糕朝可爱=>2023-04-14 23:18:13=>0=>还好张先生发现及时，这帮间谍真是太可恶了
秋窗风雨希望=>2023-04-14 23:09:05=>0=>时刻警惕<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
张鱼小丸子biu_=>2023-04-14 23:04:43=>2=>严查！维护国家安全
GraceZhang_jzy=>2023-04-14 22:51:49=>1=>12339，发现间谍快举报
看门道人=>2023-04-14 22:41:35=>2=>最可怕的不是大家不懂间谍设备，而是外国人可以随意在我国土地上进行间谍活动
一头江湖嘚鲸=>2023-04-14 21:19:44=>0=>严厉处置
天然心情--=>2023-04-14 21:18:54=>0=>转发微博
猪宝竹报=>2023-04-14 21:17:47=>0=>真是无孔不入啊，为张先生点赞<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
小杨很元气=>2023-04-14 20:54:22=>0=>严厉处置
聆絮语_=>2023-04-14 20:52:20=>0=>我的天哪
秋时行=>2023-04-14 20:44:27=>0=>严查必究
有脾气的女孩紙=>2023-04-14 20:34:14=>0=>严查
賀-知书=>2023-04-14 20:22:00=>0=>👍🏻
一坨噗叽象=>2023-04-14 20:13:46=>0=>警惕性高维护了国家安全
小阮很哇塞_=>2023-04-14 20:12:14=>1=>严查严惩
游川鱼Rove=>2023-04-14 19:48:46=>0=>转
错了旺=>2023-04-14 19:47:09=>0=>傻
雅典娜之影=>2023-04-14 19:42:02=>0=><span class="url-icon"><img alt=[来] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_lai-da75e9a8cc.png" style="width:1em; height:1em;" /></span>
芝士熊喵脆=>2023-04-14 19:41:38=>0=>必须严惩！
Courteous--=>2023-04-14 19:36:03=>0=>🙅
龙潜月十三=>2023-04-14 19:32:18=>0=>严查严惩
肆月谷雨zzy=>2023-04-14 19:18:31=>0=>严查严查严惩
关你pi事噻=>2023-04-14 19:18:04=>0=>严查
江水尽不东流=>2023-04-14 19:17:56=>1=>禽秽无处不在
绘苑庭=>2023-04-14 19:17:10=>0=>严查严惩
又逢鸢临时=>2023-04-14 19:16:15=>1=>严查！
晚川星落-=>2023-04-14 19:12:56=>0=>严查
雪予玫瑰=>2023-04-14 19:11:53=>0=>严查<span class="url-icon"><img alt=[吃惊] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chijing-59b444adb6.png" style="width:1em; height:1em;" /></span>
ID爱吃栗子=>2023-04-14 19:11:37=>1=>严惩<span class="url-icon"><img alt=[拜拜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-8bfa9c2a4f.png" style="width:1em; height:1em;" /></span>
