小华一米六=>2022-06-04 18:36:54=>53=>可能是开发出儿童款枪支了
洛水嘉湖=>2022-06-05 16:58:59=>0=>底层互害，枪口就不会对准国会山的老爷
山川萬里游=>2022-06-05 08:24:06=>0=>这也是GDP呀！
你怎么都不理纶嘉-=>2022-06-05 08:20:13=>0=>美丽风景线
pytorch888=>2022-06-05 06:26:52=>0=>济南12345 现在很多隔离在方舱的人员有家不能回，在四处借钱，办隔离贷，本地领导拿着收款码，不交钱谁都不能走
南海芜归=>2022-06-04 22:00:39=>0=>不愧是漂亮国<span class="url-icon"><img alt=[黑线] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png" style="width:1em; height:1em;" /></span>
_明明就·=>2022-06-04 21:41:31=>0=><span class="url-icon"><img alt=[哆啦A梦害怕] src="https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_03haipa-32e9b53caf.png" style="width:1em; height:1em;" /></span>
桥醒岽=>2022-06-04 20:56:50=>0=>我甚至怀疑最近这段时间袭击学校的抢手是枪械制造商为了推广儿童版枪械雇的<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
编故事队长=>2022-06-04 19:51:14=>0=>咋就逆势了呢，分明是形势大好啊
芬太-亚尼=>2022-06-04 19:43:12=>0=><span class="url-icon"><img alt="[666]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt="[666]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt="[666]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png" style="width:1em; height:1em;" /></span>不愧是团长，开自由民主灯塔国的玩笑，这波是地狱玩笑吧
肉眼看凡胎=>2022-06-04 19:41:22=>0=>禁枪救不了美国人
5354-=>2022-06-04 19:07:57=>1=>卖武器就是为了经济
Coda猫的尾语_=>2022-06-04 19:07:33=>0=>害人终害己
_不知名主唱y=>2022-06-04 19:03:47=>0=>害人害己
快乐的啵啵小猪=>2022-06-04 19:00:04=>0=>害人害己
王法无敌=>2022-06-04 18:55:42=>0=>看到50名全副武装的警察在外面等了一个小时不敢进去，正常人的想法应该都是该买枪了
锟斤考=>2022-06-04 18:52:42=>0=>这些军工复合体赚的就是血钱
咕咕咕咕哩咕哩咕哩=>2022-06-04 18:50:48=>0=>人人     ，它才      。
从一开始就发梦的魔皇_leobomb=>2022-06-04 18:50:06=>0=>发达
笔下的墨画扁舟=>2022-06-04 18:37:59=>0=>害人害己
Wannaw_wp=>2022-06-04 18:36:58=>0=>上gif
D级人员保护组织=>2022-06-04 18:31:29=>1=>资本的逻辑是：看见没，死了几十个孩子，都不可能控枪，枪还得卖，股价自然涨。
苏维埃势力=>2022-06-05 23:56:59=>0=>想说点啥但想想还是算了吧
踏实五毛=>2022-06-04 19:12:05=>0=>开枪他才能大团结。加油吧进击的美国路人。打他！
星辰灿烂月微光=>2022-06-05 10:28:36=>1=>原来听小朋友唱：小鸟说早早早你为什么背上炸药包？我去炸学校……觉得就是一个搞笑的改编，没想到在霉国这马上就要变成真实的事情<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
TINTIN6161=>2022-06-04 22:46:18=>0=>公知美粉出来走两步来！<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
foo_Jeremy=>2022-06-04 22:21:14=>0=>呵呵
任嘉的雪儿=>2022-06-04 22:12:07=>0=><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
平平无奇的尧满满=>2022-06-04 20:51:26=>0=>救命
奋笔撕书=>2022-06-04 20:19:54=>1=>任何事情、事件的发生，都有他的历史原因，更有存在的客观原因，都不可能孤立存在，原因也更不可能是单一的！没必要过分评价别人，建议共青团中央
阿星会唱小星星=>2022-06-04 20:07:26=>0=>庆幸生在中国！<span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span>
阿星摘到月亮啦=>2022-06-04 20:04:39=>1=>太可怕啦！<span class="url-icon"><img alt=[失望] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-b4bf17068f.png" style="width:1em; height:1em;" /></span>
是一枚金牌帅哥=>2022-06-04 19:52:59=>1=>用抢的多，制造商有市场
欢乐的棉花虫=>2022-06-04 19:13:13=>0=>江苏省新沂市港头镇港头村村支书卞浩指使副书记戴猛，欺压孤寡老人，召集带领社会闲散人员强拆老人房屋！
木子小白蝎=>2022-06-04 18:46:48=>0=>真人吃鸡，血战到底，死亡午夜，献祭凯恩<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
甜心校园=>2022-06-04 18:44:44=>0=>害人害己
犹之耻无=>2022-06-04 18:43:08=>0=>因为老百姓知道，禁枪在美国根本不可能！所以大家买枪防身……
馨公益=>2022-06-04 18:30:23=>0=>转
