笙箫-别闹=>2022-11-28 15:58:01=>1277=>行为反映心理。还是想死灰复燃的
姓白名兰字安号温文尔雅W29=>2022-11-28 17:19:17=>0=>我喜欢看   死亡笔记，一死   死  一打  日本人；我喜欢看    奥特曼，一死   死   一城  日本人……
深海里的葭葭=>2022-11-28 16:42:13=>0=><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span>
陌上清浅-=>2022-11-28 16:33:43=>0=><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
寒江雪421=>2022-11-28 16:25:01=>0=>狂妄野心不死
红尘是醉卧锦鲤=>2022-11-28 16:17:38=>0=><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
椰奶的白眼狼=>2022-11-28 16:14:19=>0=>殖人：韩国人你为什么不反思<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
冬寻枝时雨=>2022-11-28 16:11:57=>0=>天呐<span class="url-icon"><img alt=[哼] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heng-3032fd08c2.png" style="width:1em; height:1em;" /></span>
每天都有个美好的早晨=>2022-11-28 17:30:45=>1=>想象一下德国赛场出现纳粹旗
况杰_卧龙教父=>2022-12-01 14:57:13=>0=>打倒日本帝国主义
保定法律问题咨询=>2022-12-01 14:30:00=>0=>日本对二战反省的不够
静静的一条顿河=>2022-12-01 12:03:35=>0=>反对日本军国主义<span class="url-icon"><img alt=[拳头] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-81f684d5ed.png" style="width:1em; height:1em;" /></span>
M洒脱A=>2022-12-01 08:36:42=>0=>。
zhf1123=>2022-11-30 21:25:15=>0=>不让他们上太空站了
taosongee=>2022-11-30 17:32:33=>0=>原子弹下无冤魂
可爱熊宝宝s的妈=>2022-11-30 17:24:12=>0=>这才是切掉观众镜头的原因啊！
喜欢诺夏=>2022-11-30 02:37:49=>0=>世界杯日本出场我看到日本国旗一股子气，感觉上头了，帝国主义可恨
WangYJ哥哥=>2022-11-29 19:43:57=>0=>贼心不死！
阿拉斯加de决明子=>2022-11-29 16:59:59=>0=>大批中国球迷支持小日本子，也不知道是什么心理。。。
粤旅友=>2022-11-29 11:38:37=>0=>少数还是多数
伤心煎饼卷=>2022-11-29 10:42:18=>0=>帝国主义亡我之心不死<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
不喜欢吃鱼的大花猫=>2022-11-29 10:39:42=>0=>日本军国主义之心不死，最好用核平物理感化他们！
种花家就在这里你来或者不来=>2022-11-29 09:26:28=>0=>小日子真的需要吃核蛋
山川萬里游=>2022-11-29 09:17:17=>0=>小鬼子贼心不死！
11号路口等封闭货车=>2022-11-29 09:15:38=>0=>对军国主义说不
大橘大利的草莓=>2022-11-29 09:01:19=>1=>关注核酸检测问题！
道法自然14=>2022-11-29 08:56:58=>0=>日本人野心昭昭！美国人可以养虎但是我们不能由它为患
天衍如疯=>2022-11-29 08:45:41=>0=>但是他们把垃圾都收拾了啊<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
老中医Psyche=>2022-11-29 08:32:54=>0=>也就是中国队和中国球迷不在现场
哚re咪法惢=>2022-11-29 08:07:34=>0=>鬼子
wa0707=>2022-11-29 07:46:44=>1=>决不能让这个恶魔从坟墓里爬出来
破烂猴口口=>2022-11-29 07:36:08=>0=>日本法西斯依然存在
风中的瑟鲁=>2022-11-29 06:56:18=>0=>输球了，也演不下去了。
大张伟29112=>2022-11-29 05:46:45=>0=>军国主义必亡
Mex丶vlcHiu=>2022-11-29 05:23:52=>0=>小日子狗皮膏贴<span class="url-icon"><img alt=[偷笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-0d995330b6.png" style="width:1em; height:1em;" /></span>
nxiskwh=>2022-11-29 03:20:04=>0=>小日本贼心不死
夜晚中亮火虫=>2022-11-29 01:33:51=>0=>没有记错的话14年世界杯就出现过<span class="url-icon"><img alt=[摊手] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[摊手] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[摊手] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png" style="width:1em; height:1em;" /></span>
行者的征途=>2022-11-29 00:47:57=>1=>小鬼子可不是死灰复燃 而是一直都在
许明智721=>2022-11-29 00:41:34=>0=>当年我们受到的苦难，总有一天会加倍偿还。军国主义不除，小日本就是在自找死路。
玩转棣球=>2022-11-29 00:26:30=>0=>无语了
我心如杯水=>2022-11-28 23:45:14=>1=>呵呵，小日子怪不得看完球要捡垃圾，下次记得带个铲子和塑料袋，这玩意很臭，所以要弄干净点。
Cliifismygod=>2022-11-28 23:37:29=>0=>死心不改
改昵称好难YB=>2022-11-28 23:30:09=>2=>有些人看见了吗 这就是为什么日本代表亚洲赢了，我们反而会觉得失望 因为它们永远永远不值得原谅 它们不觉得有错
人可山己几=>2022-11-28 23:07:22=>0=>但斌
口玉期-化十路=>2022-11-28 22:47:04=>0=>大姨妈漏了这是
此心磐石无转移=>2022-11-28 22:42:38=>1=>江山难改本性难移的小日本子<span class="url-icon"><img alt=[弱] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_ruo-d444cceb19.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[弱] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_ruo-d444cceb19.png" style="width:1em; height:1em;" /></span>
安若羽飞=>2022-11-28 22:40:00=>0=>真是刻在骨子里的讨厌这个旗
八九不离色=>2022-11-28 22:13:25=>0=>赛后清理看台垃圾与看台展示月经四射𣄃，都是外务省相辅相成的动作。
墨小尘lzx=>2022-11-28 21:20:15=>0=>跳吧！跳吧！只希望日后你们能承受的起后果
2024加油呀gl=>2022-11-28 21:09:54=>0=>这才该上热搜，每次买的夸夸日本捡垃圾的热搜不尴尬嘛
良好de小市民=>2022-11-28 21:00:09=>0=>倭族这种民族，迟早有一天，迟早有一天，迟早有一天…
潜意识121=>2022-11-28 20:58:53=>0=>就是论事，日本好的地方好，无耻的时候也是极致的
忧心忡忡的老刘=>2022-11-28 20:58:01=>0=>谁知道中央疫情层层加码举报电话啊？
关于第壹=>2022-11-28 20:48:28=>0=>中国队进去，就会让五星红旗迎风飘扬赛场了
律798=>2022-11-28 20:41:11=>0=>核废水队
宾克斯的红葡萄酒=>2022-11-28 20:24:27=>0=>物以类聚，人以群分，垃圾捡垃圾没毛病
s-ssssss=>2022-11-28 20:22:09=>0=>富士山到底什么时候喷发
谁言情未了=>2022-11-28 20:21:26=>0=>这个东西是可以拿出来的？？？
徐坤姓什么=>2022-11-28 20:13:11=>0=>小日本需要核平
青蛙王子Rocen=>2022-11-28 20:06:17=>0=>让我出国去打他！
业余元帅=>2022-11-28 20:01:02=>0=>小鬼子：我再去捡垃圾。。。
水墨青裾=>2022-11-28 19:48:48=>0=>这也太过分了
橘朵汽水_=>2022-11-28 19:45:14=>0=>來看看<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>日本国驻华大使馆
尘隐隐=>2022-11-28 19:21:25=>0=>先晒旗子再捡垃圾？
我cp不真那我假=>2022-11-28 19:14:55=>0=>爱环保的帝国主义是吧
逆流殇殇=>2022-11-28 19:06:21=>0=>小八嘎玩的挺野啊。
cypherlu=>2022-11-28 18:57:11=>0=>人家捡垃圾不行么
夜深知雪重2=>2022-11-28 18:50:25=>0=>鬼子永远是鬼子<span class="url-icon"><img alt=[鄙视] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_bishi-f968a20e34.png" style="width:1em; height:1em;" /></span>
草莓甜心苹果橙=>2022-11-28 18:47:43=>0=>所以输了啊，不吉利这破旗，这么多年还没清醒吗，每次打出这个旗一定会输<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
北-northernstar=>2022-11-28 18:45:28=>0=>飘了飘了
三只小猪一个家=>2022-11-28 18:45:19=>0=>证明小日本贼心不死
叶奈法的狗=>2022-11-28 18:43:32=>0=>德国要是敢把纳粹的旗掏出来马上就被旁边的人打了
Rockpeleus=>2022-11-28 18:43:24=>0=>灭亡吧，说不听，累了<span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span>
无敌花小孩=>2022-11-28 18:41:35=>0=>法西斯
寻北为归-=>2022-11-28 18:40:43=>0=><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span>
咔咔响的小风扇=>2022-11-28 18:35:08=>0=>所以说日本这个种族迟早要灭绝掉，以绝后患
sleepeater=>2022-11-28 18:33:56=>0=>八嘎
原来此处=>2022-11-28 18:32:59=>0=>就应该按在马桶里淹死
zhjolin88=>2022-11-28 18:31:00=>0=>多看看国内的乱象吧，看看核酸检测的暴利，看看新疆啥时候解封？
扛着糖葫芦闯江湖=>2022-11-28 18:30:38=>0=>不灭了他的贼窝，他不会承认他的过错<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>谴责来谴责去，不疼不痒
孤舟上的萧声=>2022-11-28 18:28:54=>0=>请求中央严查疫苗产业链
杰克马玩儿企鹅=>2022-11-28 18:27:08=>0=>这些倭寇死不足惜
沝沝洛=>2022-11-28 18:23:53=>0=>咋的 输了 不捡垃圾了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
柠檬和柠檬汁biu=>2022-11-28 18:21:10=>0=>日本国驻华大使馆 <span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
徘徊在死无葬身之地=>2022-11-28 18:20:08=>0=>祝美日韩早点把自己玩完，手牵手一起向亡国前进<span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span>
hondeson=>2022-11-28 18:16:50=>0=>韩国人第一个站出来了<span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
Neverland里的Jackson=>2022-11-28 18:16:45=>0=>二战都被打输了，还好意思举呢
青空之北=>2022-11-28 18:12:26=>0=>法西斯行为
胡茬茬怪大叔=>2022-11-28 18:12:00=>0=>在二战涉日的问题上中韩两国保持高度一致
霹雳裂哥=>2022-11-28 18:03:21=>0=>该把胡子也贴上
C_Rain__=>2022-11-28 17:59:50=>0=>他们至今官方军旗都还是这个
molidor=>2022-11-28 17:53:13=>0=>狼子野心，其心可诛！
上善若水_46321=>2022-11-28 17:49:03=>0=>军旗必败嘛
juddkaka=>2022-11-28 17:40:12=>0=>希望下场日本能有战犯级表现
爱热干面=>2022-11-28 17:39:11=>0=>现场拉出去锤
平安南阳=>2022-11-28 17:37:19=>0=>引发众怒！<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%96%E7%95%8C%E6%9D%AF%E6%AF%94%E8%B5%9B%E7%8E%B0%E5%9C%BA%E6%97%A5%E6%9C%AC%E7%90%83%E8%BF%B7%E6%99%92%E6%97%AD%E6%97%A5%E6%97%97%23&extparam=%23%E4%B8%96%E7%95%8C%E6%9D%AF%E6%AF%94%E8%B5%9B%E7%8E%B0%E5%9C%BA%E6%97%A5%E6%9C%AC%E7%90%83%E8%BF%B7%E6%99%92%E6%97%AD%E6%97%A5%E6%97%97%23" data-hide=""><span class="surl-text">#世界杯比赛现场日本球迷晒旭日旗#</span></a><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
要长点心啦=>2022-11-28 17:33:59=>0=>爆的不是捡垃圾
