那啥救星自信赋予者=>2022-08-10 10:49:05=>147=>不抓去监狱还在指定居所？
龏奭嚻艸=>2022-08-10 11:29:44=>1=>不应该严惩吗？
祁大祁=>2022-08-10 10:54:16=>1=>严惩
种一个月亮_R=>2022-08-10 10:50:16=>2=>懂了，居家隔离
Ponnenult4=>2022-08-10 14:03:19=>1=>严惩
七元老师=>2022-08-10 10:49:09=>1=>一定要严查严惩！必须的！
岁月难得沉默053=>2022-08-10 12:25:12=>1=>准备枪毙
yugolou=>2022-08-10 11:05:02=>1=>火速成为污点证人<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
c夜雨微澜=>2022-08-10 10:48:27=>1=>抓得好
重生归来我担是桃浦=>2022-08-10 13:59:17=>0=>严惩
一场及时鱼=>2022-08-10 13:17:00=>0=>通知家属干什么(=_=)直接把他关到老<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>//那啥救星自信赋予者:不抓去监狱还在指定居所？
唯Love晨熙=>2022-08-10 12:35:06=>0=>严惩
重拾_狗狗祟祟的快乐=>2022-08-10 12:27:36=>0=>严惩
歪梨多多=>2022-08-10 12:27:31=>0=>坦白从宽了？
Anjie骨灰级影迷=>2022-08-10 12:20:05=>0=>严惩不贷
小妮子-女汉子=>2022-08-10 11:30:55=>0=>👍🏻👍🏻
袅袅莲花香=>2022-08-10 11:28:18=>0=>不招留着过年吗
又睡了个懒觉_=>2022-08-10 11:22:55=>0=>指定居所？
来时是来时__=>2022-08-10 11:16:20=>0=>严惩
Jooycc=>2022-08-10 11:02:43=>0=>严惩
临嘉禾望椿=>2022-08-10 10:59:22=>0=>严惩
陌上清浅-=>2022-08-10 10:58:05=>0=>严惩
YINGYAO_No6KiIIer=>2022-08-10 10:51:40=>0=>看他中学时期就被台独洗脑了 还是台独势力想尽办法搞事 还是坏啊
深浸deep=>2022-08-11 22:23:38=>0=>好
粉红色的小苞米=>2022-08-11 06:42:19=>0=>敲山震虎
小艾与奇诺养乐多=>2022-08-11 00:04:11=>0=>必须严惩
晴天雨天都喜欢1921=>2022-08-10 23:26:03=>0=>死刑！
七律登高=>2022-08-10 17:06:28=>0=>有立功表现？
点合Minions=>2022-08-10 16:26:12=>0=>这种人罚重点好吗？我看很刑啊！<span class="url-icon"><img alt=[挖鼻] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-816c4e8890.png" style="width:1em; height:1em;" /></span>
南极不是碎碎冰=>2022-08-10 16:19:24=>0=>期待后续<span class="url-icon"><img alt="[送花花]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt="[送花花]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png" style="width:1em; height:1em;" /></span>
新_浪1diot=>2022-08-10 15:50:56=>0=>进去了可能会被打死
夏天的田虾=>2022-08-10 14:36:12=>0=>拘留所关押要抵刑期的，是不是这个就不抵了<span class="url-icon"><img alt=[笑cry] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png" style="width:1em; height:1em;" /></span>
轻词挽歌=>2022-08-10 14:17:04=>0=>哈哈，没有高尚信仰的人🤗卖队友就是快
哥基拉嘤嘤怪=>2022-08-10 13:55:02=>0=>抓得好<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
江湖人称小李挨刀=>2022-08-10 13:46:41=>0=>这种人不严惩说不过去！
你看你头都秃了=>2022-08-10 13:09:19=>0=>必须严惩！
甜甜的兔咪-州=>2022-08-10 13:09:18=>0=>转发微博
善莫感已M=>2022-08-10 13:06:42=>0=>撬开嘴巴，问问还有多少同伙
蚕yuuii=>2022-08-10 13:03:45=>0=>严惩！
你浅浅的微笑就像九转大肠=>2022-08-10 12:52:37=>0=>卖了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
咪猪耶=>2022-08-10 12:50:03=>0=>严惩不贷
Normalwest=>2022-08-10 12:46:06=>0=>监视？别跑了
Jordan-Wang=>2022-08-10 12:42:44=>0=>为啥给他打码？
lucy_li198510=>2022-08-10 12:24:29=>0=>严惩不贷
河北刘江宏=>2022-08-10 12:19:59=>0=>希望重判！！！
emilyzoeng=>2022-08-10 12:11:51=>0=>他应该还不是大鱼。我天天盯着台海动态 从8月2号始，天天失眠。台湾一天不统一，我这失眠应该好不了<span class="url-icon"><img alt=[汗] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_han-d8ebda66d3.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[汗] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_han-d8ebda66d3.png" style="width:1em; height:1em;" /></span>
正栽葱长_=>2022-08-10 11:58:50=>1=>怎么？把丁香医生供出来了？<span class="url-icon"><img alt=[笑哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiaohaha-56dbc288a5.png" style="width:1em; height:1em;" /></span>
没尾巴的鹰ing=>2022-08-10 11:50:32=>0=>既然都招了？为什么不给他一枪？还是他吓尿了<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
邻家大胃王=>2022-08-10 11:50:15=>0=>不能放过他
微笑的皱纹1001=>2022-08-10 11:47:50=>1=>我只想知道，他怎么会跑到温州来？
虾仁不眨眼喔-=>2022-08-10 11:45:09=>0=>看来吐的东西不少<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
qiang2022=>2022-08-10 11:44:53=>0=>它的尽头应该是监狱<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
姜冻冬=>2022-08-10 11:43:29=>0=>严惩
杰子不吃茄子=>2022-08-10 11:38:16=>1=>他是以什么理由来到内地的？
ICIQID卡通通给我mima=>2022-08-10 11:37:47=>0=>就是坐牢<span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span>
红烧肉腌鱼=>2022-08-10 11:23:07=>0=>必须严格处理
馨夜聆听=>2022-08-10 11:16:03=>0=>这种不判刑？
c石沉溪洞c=>2022-08-10 11:10:48=>0=>招了<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
艾克不淘气=>2022-08-10 11:10:16=>0=>严惩，抓起来
曹痩子=>2022-08-10 11:06:50=>0=>应该提供了不少证据吧！以后抓台独有用
我不是英雄好汉=>2022-08-10 11:06:14=>0=>好
獬豸小苦瓜=>2022-08-10 11:04:41=>0=>刑事强制措施分为拘传、取保候审、监视居住、拘留、逮捕，对人身自由的限制程度依次加强。指定居所监视居住属于监视居住的一种，针对犯罪嫌疑人、被告人没有固定住处或者涉嫌危害国家安全犯罪、恐怖活动犯罪、特别重大贿赂犯罪，在住处执行可能有碍侦查的情况。
爱REM=>2022-08-10 10:58:38=>0=>不如罚他游泳横渡台湾海峡，活不活看个人。
疯狂的一千种面貌=>2022-08-10 10:58:06=>0=>抓的好！<span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
墨鱼饼饼=>2022-08-10 10:57:25=>0=>漂亮
冰窖巷深沉的田螺=>2022-08-10 10:53:31=>0=>就该坐牢
李是李大本事的李=>2022-08-10 10:52:46=>0=>一点惩戒效果都没有
vapnos=>2022-08-10 10:52:37=>0=>治不了洋人还治不了你
阿里噶多美羊=>2022-08-10 10:52:38=>0=>关起来
心动_plus=>2022-08-10 10:51:50=>0=>这算不算保释了？对后来者几乎没有警戒作用喔
喵喵喵不解释=>2022-08-10 10:51:40=>1=>顺藤摸瓜<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
甘晓明=>2022-08-10 10:51:17=>0=>团团应该发挥推动作用<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
Axiosice白泽=>2022-08-10 10:50:06=>1=>你这截屏看坏眼睛
小夜攻=>2022-08-10 10:49:58=>0=>为什么不抓蔡英文<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
傻里吧唧呙=>2022-08-10 10:49:47=>0=>策反吗<span class="url-icon"><img alt=[思考] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-ff9602dd08.png" style="width:1em; height:1em;" /></span>
pigeonNNS=>2022-08-10 10:49:22=>1=>开始统战了？<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
宇航员吃芒果=>2022-08-10 10:48:56=>1=>求科普🙏
可乐加水是正品=>2022-08-10 13:08:42=>0=>这么怂还搞台独。
我妈不让我跟缺心眼唠嗑=>2022-08-11 10:39:36=>0=>严惩不贷！
时屿7711=>2022-08-10 17:06:56=>0=>只有一个中国！！
_我的她你在哪_=>2022-08-10 15:28:10=>0=>人权
叶叶的鼠标=>2022-08-10 13:35:53=>0=>必须严惩
怪怪你乖=>2022-08-10 13:13:23=>0=>严惩
Talralsha都有人抢=>2022-08-10 12:14:50=>0=>台湾省台湾省，怎么又台湾地区了
嘚嘚嘚嘚笑鼠赢了=>2022-08-10 11:40:13=>0=>赶紧戴罪立功吧
NYC毛毛虫=>2022-08-10 11:33:20=>0=>不理解他去大陆干嘛？自投罗网？
柚子uni5号=>2022-08-10 11:05:33=>0=>干得漂亮<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
风过心放开=>2022-08-10 20:35:06=>1=>不应该直接毙掉？
幽州烟雨=>2022-08-10 14:09:21=>0=>这是全招了...
满城可倜=>2022-08-10 13:48:39=>0=>严惩
七日秋澜=>2022-08-10 13:37:50=>0=>必须严惩
小彩SOLO3_0=>2022-08-10 13:12:16=>1=>没什么说的，这些人真是一个比一个勇
做一场不愿醒来的梦=>2022-08-10 12:54:05=>0=>严惩！！！
W爱LXT=>2022-08-10 12:51:07=>0=>一定严惩
等待不可预知的未来=>2022-08-10 12:38:39=>0=>严惩不贷
奶枝神圆=>2022-08-10 12:36:36=>0=><span class="url-icon"><img alt="[彩虹屁]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4b/2022_praise_org.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt="[彩虹屁]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4b/2022_praise_org.png" style="width:1em; height:1em;" /></span>
赤道以北最后一个彳亍男=>2022-08-10 12:24:38=>0=>小蓝鸟上一大堆大陆反贼
cartman72=>2022-08-10 12:14:44=>0=>放了吧，要不然某办不开心啊
冷萃吖=>2022-08-10 12:06:21=>0=>指定居所?
_水晶吖=>2022-08-10 12:03:15=>0=>指定居所?????
柠檬酱Moon=>2022-08-10 12:00:11=>0=>就应该抓起来！
染柒的鱼鱼=>2022-08-10 11:47:04=>0=>枪毙了吧
TeaQing=>2022-08-10 11:45:18=>0=>哦，这种台独骨干只需要监视居住呀。对面的独独们都放心了。你看看国内的其他分裂国家的嫌疑人有没有指定居住的？
小亚慢点长大吧=>2022-08-10 11:28:49=>0=>一个中国🇨🇳
玲珑塔塔珑玲=>2022-08-10 11:27:19=>0=>玲珑塔塔珑玲: 普法一下，监视居住是比拘传更为重的强制手段。拘传是强制力最轻的一种，时间最多只能24小时。监视居住可长达6个月。另外，监视居住并不是回家居住，住在哪里，是由办案单位指定的，这个案子指定住在哪里，你肯定懂得<span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span>
家养短脸猫儿=>2022-08-10 11:25:34=>0=>依法惩戒<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
小狗成长纪念p0=>2022-08-10 11:21:39=>0=>严惩<span class="url-icon"><img alt=[哼] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heng-3032fd08c2.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哼] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heng-3032fd08c2.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哼] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heng-3032fd08c2.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哼] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heng-3032fd08c2.png" style="width:1em; height:1em;" /></span>
绣气麽麽18591=>2022-08-10 11:13:13=>0=>严惩台独分子
阿龙嘎嘎帅=>2022-08-10 11:12:41=>2=>直接毙了吧<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
队长是我不要开枪=>2022-08-10 11:06:49=>0=>监居比刑拘严苛多了
_江河日上_=>2022-08-10 11:05:36=>0=>这条新闻是给他上级看的
cain666=>2022-08-10 11:03:43=>1=>污点证人戴罪立功嘛<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
镜埖氺月_RR=>2022-08-10 11:03:36=>0=>可不可以顺藤摸瓜
今天你开心了嘛嘛嘛=>2022-08-10 10:59:45=>0=>抓起来<span class="url-icon"><img alt=[抓狂] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_zhuakuang-c007ffb7fe.png" style="width:1em; height:1em;" /></span>
七月如糖_=>2022-08-10 10:58:10=>0=><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
止木_zhimu=>2022-08-10 10:56:29=>0=>年纪轻轻的，闹台独，可怜
也界88868=>2022-08-10 10:53:08=>6=>应该是有重大表现，这种人就是那种吃里扒外，被抓就怂“坦白从宽”的人
枫灯=>2022-08-10 10:52:58=>1=>中元节快到了，希望所有台独去阴间报道<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
世上有个你_每天都欢喜=>2022-08-10 10:52:40=>0=>必须严惩这些东西<span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
老婆翻看我手机我只能用MJ=>2022-08-10 10:51:15=>0=>外网哇哇又要笑了，不过尊重支持国安部门的决定
空巢老人阿蝈蝈=>2022-08-10 10:50:49=>0=>凭什么
辉辉辉_辉少=>2022-08-10 10:50:10=>0=>判太轻了
时代少年团-懒羊羊=>2022-08-10 10:49:44=>0=>指定居所监视居住是啥意思啊
