用户名	有用数	好评	时间	评论				
王牌讲解员	7	5星	 2021-02-12 23:39:58	 看了第一集《尚书》，非常推荐！在《国家宝藏》的基础上更上一层楼！感觉是在运用抒情性的现代影视手法解读《尚书》。最喜欢《尚书·禹贡》那场戏，台词高度贴合《禹贡》原文，搞得我激动万分把原文搜出来读了一遍。《牧誓》一段，估计很多人都希望姜子牙多分几句台词吧哈哈哈！片尾闪现的清华简展厅很有新意，清华大学艺术博物馆确实举办过清华简特展，真有恍惚回到展厅的错觉，“反向穿越”的设计大概超出许多人意料，可以理解为现代编剧献给先贤的礼物吧，《尚书》流传到今天，少了谁个接力棒都不行呢。好了，剧透结束。				
小王子	3	5星	 2021-12-10 13:09:39	 为天地立心，为生民立命，为往圣继绝学，为万世开太平。				
mpor2	4	5星	 2022-02-04 23:29:19	 中国文化源远流长～央视一出手就知有没有～??				
momo	23	5星	 2021-02-12 21:26:59	 目前看上去可以对标国家宝藏。倪大红老师演技真好，特别入戏。昨晚上但凡有今晚四分之一的认真，也不至于给全国看那么个烂玩意。				
天云阁	2	5星	 2022-05-14 16:26:28	 节目是大气的，典籍是永恒的，历史是厚重的。惟殷先人，有册有典，每部典籍都有生命，每个生命生生不息。。《尚书》 华夏为何为一体？自古就是一体。。《天工开物》 此书与功名进取毫不相关也。《史记》 青史，不可废。《本草纲目》 天下医书，利益天下，当天下共修，世代永新。《论语》 朝闻道，夕死可矣。《孙子兵法》 兵者，国之大事，死生之地，存亡之道，不可不察也。《楚辞》 路漫漫其修远兮，吾将上下而求索。《徐霞客游记》 丈夫当朝碧海而暮苍梧。《道德经》 道可道，非常道。名可名，非常名。《周易》 天行健，君子以自强不息。地势坤，君子以厚德载物。《传习录》 此心光明，亦复何言				
法羅島橡樹	27	5星	 2021-02-14 18:14:45	 要是能给六颗星的话我都嫌少！				
钾钙钠镁铝	27	5星	 2021-02-12 21:37:04	 国学入寻常百姓家。倪大红不愧老戏骨，编剧丝丝入扣，精妙绝伦，以入木三分之解释。配乐也是完美。				
事事顺心	2	5星	 2021-12-08 22:02:29	 历史感、穿越感、沉浸感、仪式感、文化性兼具，很棒的节目				
Jasmine_长乐	1	5星	 2021-10-02 10:33:53	 央视最近神仙节目井喷，这个节目是《故事里的中国》的姐妹节目，古今穿越的设定很有趣，干货十足，第一集就看得我热泪盈眶。				
爱学习的锦鲤	10	5星	 2021-02-14 09:30:38	 善				
木木三又二	4	5星	 2021-06-30 00:30:30	 和《国家宝藏》一样的演绎，非常好看				
肥猫MOTO	3	5星	 2021-03-08 19:21:42	 看了一小段，真的跪了，汗毛直立那种感觉。节目严谨，有历史有知识又有内涵，不矫情又感动。央爸爸这两年也太高产了。一出手，地方台综艺都秒变弟弟了。				
Aries	1	5星	 2021-12-21 19:19:49	 最令人感动的，是现代读者与典籍作者/守护者穿越时空的对话。于我的理解，终于弥补了先贤一生凄苦的自责与仿徨。从现在读书人的口中，告诉先贤：你坚持一生所做的事情，是正确的。				
倒长的树	2	5星	 2021-09-20 20:54:33	 古人都是自己担当着民族大义，守住一盏灯火，照亮后人，像李时珍，老子……				
想想	0	5星	 2021-05-04 11:48:40	 宋应星《天工开物》。李时珍《本草纲目》				
素颜	10	5星	 2021-02-13 10:50:02	 泱泱中华五千载，更与何人说？每次读史书都会惊叹于古人的智慧，也比原以为的要精彩的多，阅读时，颠覆认知的记录比比皆是。许多人觉得古代离我们的太远，有甚者会嗤之以鼻。希望能引导出文化的传播之风，毕竟，华夏一直没有被历史所泯灭，就是因为这绵延不断的文化脉络，这些都是记录在古籍里的。				
木辰	3	5星	 2021-04-20 19:53:09	 舞台设计精美至极，服化道精良，故事感人泪下。对现场观众而言，观看的是精彩的话剧；对屏幕前的观众来说，观看的是情节完整的电视剧。“民惟邦本，本固邦宁。”泪目。				
Mamacita117	3	5星	 2021-09-14 15:40:03	 敢于制作这类节目的勇气，勇于探索古代典籍的精神，远比最后的效果和反响重要的多。				
雪花银	66	5星	 2021-02-14 16:26:05	 看了第一期尚书，就综艺来说立意很高级，完成度也很高，倪大红老戏骨演绎非常感人。期待更多干货，期待下一期。4.5/5				
野往	2	5星	 2022-07-17 21:19:41	 真不错  用心的节目				
Chuck0924	1	5星	 2022-03-17 11:17:06	 第一集就看得我热泪盈眶。第二集看到跨越三百年的握手，哭得鼻涕都出来了。看到第五集《论语》终于懂了节目为什么叫“典籍里的中国”。正是这些代代传承的典籍，塑造了我们中华民族的民族精神				
皓腕下的莲	0	5星	 2021-08-07 22:58:42	 紧贴时事的一部剧。				
晃荡	8	5星	 2021-02-15 11:00:09	 怎么说呢？就很感动。				
Jadestiny	1	5星	 2022-04-26 20:30:09	 太棒了！每一集都很触动！“为天地立心，为生民立命，为往圣继绝学，为万世开太平”！				
辛子	0	5星	 2021-10-03 12:45:47	 有典籍才有中国，若是能古今相见，我倒是有点愧为华夏子女。此生无悔入华夏。如此盛世，如诸君所愿。				
阿沅	1	5星	 2021-08-25 21:54:59	 楚辞！忽然解开了以前读李白选集时的一个疑惑，原来果真热烈比压抑更痛（0825）天工开物：好青年，好读书人，好一把大刀T_T生逢末世的悲哀啊。孙子兵法：故事性和人物塑造一绝，一个刚烈一个沉静，这个题材比较敏感了，写成这样实属不易（0904）本草纲目：太喜欢话剧中人们敬惜字纸的样子，想起了一天一位同事把手放在我书稿上的情景，不知我们能为后世留下些什么呢。史记：太史公小心翼翼地问出是否值得太心酸了，他为那么多人奔走流连哭笑挥洒，我们的心里也应该有他（0905）尚书：忽然觉得自己的专业和工作很值得，原来他们珍惜的、守护的、流传的，是由我们来感悟、传承和发扬的呀，当愈加敬惜字纸（0910）徐霞客游记：徐霞客的表情啊，这就是读书人和治学者的赤子之心（0911）0912论语				
dayday	0	5星	 2021-03-09 09:11:05	 书 天工开物				
木辰	3	5星	 2021-04-20 19:53:09	 舞台设计精美至极，服化道精良，故事感人泪下。对现场观众而言，观看的是精彩的话剧；对屏幕前的观众来说，观看的是情节完整的电视剧。“民惟邦本，本固邦宁。”泪目。				
Mamacita117	3	5星	 2021-09-14 15:40:03	 敢于制作这类节目的勇气，勇于探索古代典籍的精神，远比最后的效果和反响重要的多。				
雪花银	66	5星	 2021-02-14 16:26:05	 看了第一期尚书，就综艺来说立意很高级，完成度也很高，倪大红老戏骨演绎非常感人。期待更多干货，期待下一期。4.5/5				
野往	2	5星	 2022-07-17 21:19:41	 真不错  用心的节目				
Chuck0924	1	5星	 2022-03-17 11:17:06	 第一集就看得我热泪盈眶。第二集看到跨越三百年的握手，哭得鼻涕都出来了。看到第五集《论语》终于懂了节目为什么叫“典籍里的中国”。正是这些代代传承的典籍，塑造了我们中华民族的民族精神				
皓腕下的莲	0	5星	 2021-08-07 22:58:42	 紧贴时事的一部剧。				
晃荡	8	5星	 2021-02-15 11:00:09	 怎么说呢？就很感动。				
Jadestiny	1	5星	 2022-04-26 20:30:09	 太棒了！每一集都很触动！“为天地立心，为生民立命，为往圣继绝学，为万世开太平”！				
辛子	0	5星	 2021-10-03 12:45:47	 有典籍才有中国，若是能古今相见，我倒是有点愧为华夏子女。此生无悔入华夏。如此盛世，如诸君所愿。				
阿沅	1	5星	 2021-08-25 21:54:59	 楚辞！忽然解开了以前读李白选集时的一个疑惑，原来果真热烈比压抑更痛（0825）天工开物：好青年，好读书人，好一把大刀T_T生逢末世的悲哀啊。孙子兵法：故事性和人物塑造一绝，一个刚烈一个沉静，这个题材比较敏感了，写成这样实属不易（0904）本草纲目：太喜欢话剧中人们敬惜字纸的样子，想起了一天一位同事把手放在我书稿上的情景，不知我们能为后世留下些什么呢。史记：太史公小心翼翼地问出是否值得太心酸了，他为那么多人奔走流连哭笑挥洒，我们的心里也应该有他（0905）尚书：忽然觉得自己的专业和工作很值得，原来他们珍惜的、守护的、流传的，是由我们来感悟、传承和发扬的呀，当愈加敬惜字纸（0910）徐霞客游记：徐霞客的表情啊，这就是读书人和治学者的赤子之心（0911）0912论语				
dayday	0	5星	 2021-03-09 09:11:05	 书 天工开物				
?	0	5星	 2024-03-03 09:18:09	 看过				
狄恭至	0	5星	 2021-07-11 18:42:06	 210711周日下午晚饭前给北京打过两个电话，喝着五妹送的倚邦二春芽，很舒服。				
美伢老师	1	5星	 2021-05-24 22:52:58	 感谢中国这批优秀的演员！看的人眼泪止不住流				
姜片儿	0	5星	 2021-08-14 23:36:29	 极度浪漫				
CyberCig	0	5星	 2021-08-29 03:02:12	 第六期 孙子兵法 这种工作吴妈应该很享受吧 配音老师晚饭加鸡腿				
海子	1	5星	 2022-06-17 16:33:27	 真好，真好，真好！感谢伏生、宋应星、司马迁先圣先贤，深深为身为中华儿女而自豪。既高洁大气又创新而接地气，真好的节目。。王阳明:知是行的头脑，行是的功夫。知是行之始，行是知之成。立志要早，志向要高。非常之人遇非常之事，成非常之功（立德立功立言）。文武双全，在世封勋。知行合一致良知，致良知以知行合一。。吴镇宇已演得很好了，吴樾全情投入更胜一筹仿佛伍子胥再世。				
Rosemary	0	5星	 2022-07-02 23:14:09	 儿童				
熊能能脚不沾地	0	5星	 2021-02-25 10:07:17	 关大洲YYDS				
新	5	5星	 2021-02-15 21:21:20	 倪大红真的被圈粉了，太精彩了！！！！				
飯团君。	0	5星	 2021-12-14 14:54:00	 喜欢，知识点满满				
火野丽?	2	5星	 2021-03-12 16:31:33	 宋应星这集太棒了				
蓝河的风儿	0	5星	 2021-10-11 19:02:14	 数度泪目				
MasterViVi	0	5星	 2023-05-13 13:07:14	 旅行的夜晚，随意调台听司马迁和史记的故事，直接泪目！				
夏洛克福尔摩剑	2	5星	 2021-10-11 15:10:28	 身为中国人，看到如此多典籍，如此多故事，如此多圣贤，心中自豪无以言表！追到最后，感动点确实越来越单调，但是能够看到这样的节目，还是非常庆幸，央妈手笔就是不一般。华夏文明，必将永远流传！！！				
眯眯眼的敏敏	0	5星	 2022-04-05 21:42:53	 古今对话的形式很有意思。那些千百年前的文字，如今在我们的生活中仍无处不在，深深影响着我们。读这些文字时，有种回望历史的感觉，很不可思议。。这些典籍，“不绝如缕，薪火相传。” 正所谓“华夏何为一体？自古就是一体。”。。央视爸爸的舞台可太牛了，四个台之间的穿插。各演员们更是锦上添花，每一集都堪比高质量的小话剧呀，如果能现场看可就太过瘾了。				
做兔子还是做人	3	5星	 2021-10-11 14:10:40	 泱泱华夏，可读的典籍、可歌颂的人物，太多太多。何必批评一个如此有人文关怀的节目华而不实？如果这些古人真能如故事演绎中那样看到今天的中国、今天的我们，该多好啊！				
陌弋	0	5星	 2022-09-18 11:45:20	 值得看。				
尖尾雨燕	2	5星	 2022-05-14 00:49:36	 人力微渺，如蝼蚁，唯凭对生命的损耗，成全了一本书的刊印，让个人生命转换为另一种方式永存，这是意志上的胜利。所以我越来越相信，著作得以保存，是为了让我们去读它，在感应中战栗。明白历史是流淌的，时间是无止境的，在无止境的流淌中，生命搏得了永恒，思想的疆域涉及古今中外——而这些永恒的生命就是神迹。你觉得人不可能穿越时空吧，但是那本书通过了任意门，抵达我们眼前。				
№      偏执	0	5星	 2022-01-29 02:03:15	 典籍如灯，照亮世人。				
瑞雪翎天	1	5星	 2021-03-07 21:41:39	 这节目的编剧真的好				
FrancoisG	0	5星	 2021-09-18 18:40:34	 真的太好了！				
小斯	0	5星	 2021-11-23 17:03:05	 很不错，国家宝藏之后就是它了				
莉莉丝	0	5星	 2021-07-24 22:49:35	 第一集看完了，很棒的。但是与我想的不太一样，弃了。可能我还是适合看纪录片				
乘风	66	5星	 2021-02-13 16:52:44	 文明转型关键期，更需追本溯源，理清文脉，方可解决这一代中国人在剧变之中的精神困局。				
skaz	0	5星	 2022-10-02 15:23:12	 每每闻及 热泪盈眶				
Tingxin	0	5星	 2021-10-10 21:44:01	 看到倪大红一集，将孔子、周文王和伏羲联系到一起，天行健和地势坤的演绎，简直绝了				
艺馨	0	5星	 2021-12-27 13:15:44	 现在官方的文化节目是真不赖。舞台服化道都之精美。倪大红的演技牛。《尚书》必须在明年安排起来了。				
啦啦啦啦	16	5星	 2021-02-13 22:54:58	 绝了呀，央视这几年拍的传统文化类节目真的是质量上乘				
小泽又沐风	9	5星	 2021-02-13 16:39:32	 二大爷家串门看了一会儿就迫不及待回家看了，老戏骨不服不行，倪大红一个眼神真的就很难不落泪				
CreepGao	9	5星	 2021-02-13 16:42:21	 ??				
，	0	5星	 2021-06-19 14:05:06	 学习强国有资源				
岚雪阁	0	5星	 2024-03-16 21:30:32	 妈妈呀，我要哭了。				
alice	1	5星	 2021-02-18 19:27:50	 穿越千年的文化				
归期未有期	8	5星	 2021-02-12 21:19:31	 太好看了，惊叹于古人的智慧				
蓝色公路77号	1	5星	 2021-04-27 20:04:43	 《尚书》一篇，哽咽泪下好些次。				
ei白	0	5星	 2021-03-28 21:15:21	 超棒啊！有深度的节目，可是更新时间也太谜了，我都等一个月了还没等到第4集更新。				
见片鬼。	0	5星	 2021-08-12 16:22:07	 央视 大抵上是国内的BBC级别啦				
士心	8	5星	 2021-02-14 13:41:26	 倪大红的演技一绝?				
Annabel Jin	2	5星	 2022-07-29 20:38:57	 国学还得是央视啊！这编剧、文案、配乐、转场等等都太戳了				
138****6451	0	5星	 2021-08-11 19:15:10	 是个大宇宙啊。完全可以改成电影  。就让撒贝宁来演。期待讲到诸葛亮 				
灰红会发黑	0	5星	 2021-09-21 16:52:07	 中华是伪装成国家的文明，华夏自古就是一体，节目太好了，就是有点费眼泪，简直就是文化界的“国家宝藏”。?				
鱼罐头	1	5星	 2021-02-28 11:41:05	 太震撼了 啊这				
温水青蛙	8	5星	 2021-02-15 23:51:16	 很感动，能看到这样用心的节目				
夕颜花开	0	5星	 2022-02-22 23:08:12	 喜欢喜欢，跟着戏剧演绎，穿越古今来读书				
? Spencer玄子	1	5星	 2021-07-15 00:06:56	 21.080。。每一期都看得我想哭啊，特别是最后一期，孔子穿越两千多年看到小朋友读《论语》，很感慨的说，人人都可读书啊！。是啊，现在人人皆可读书，却人人却不读书。。				
黄杉	0	5星	 2021-10-25 18:22:10	 优秀～演员演技，配音，选材各种～				
月上无风而殇	0	5星	 2024-01-20 21:36:42	 永远为博大精深的中华文化骄傲和自豪，知古鉴今，道阻且长，从典籍的缝隙里窥得一点点历史的痕迹。				
鲁大师-鲁提辖	0	5星	 2021-09-21 18:46:00	 这样的良心节目，只有央视才能完成。央视认真起来，谁人能敌！主持人也挺情绪饱满的，看话剧看的似乎期期流泪啊？				
aka-oldfish	0	5星	 2023-07-29 15:02:14	 央视精品，获益不少				
戈昂	0	5星	 2022-12-31 21:48:31	 央视出品，小撒站台，必是精品				
狻猊	4	5星	 2021-08-15 18:24:57	 会看哭的，真的				
小新有只喵	0	5星	 2022-03-14 23:56:19	 徐霞客，老子，天道，感动。				
三笠	0	5星	 2022-10-22 01:27:38	 寓教于乐，老戏骨们牛逼！！！				
追剧小迷妹	0	5星	 2022-10-25 10:28:28	 以书传承	以史为鉴	以人为本	家兴国兴	很感人!
考虑&周到	0	5星	 2023-02-20 13:36:08	 从小就特别喜欢吴越争霸的故事				
橘子小aa	0	5星	 2021-11-16 17:30:47	 ●9.2分。●2021.11.07-11.13。●忽然想，演技出神入化的演员必然是对该角色的共情达到极致，尤其是神态表情。但鉴于恶人也多有能演欺骗世人者，因此又要着重考虑心灵和外在神情的分离性。。●《天工开物》：此书与功名进取毫不相关也。。贵五谷而贱金玉。。六次落第，却看到世间万象，人间百态。。●《徐霞客游记》：丈夫当朝碧海而暮苍梧！。何处不可埋吾骨也。。父母在人生尚有来处，父母去人生只剩归途。。●《道德经》：在这些典籍面前，我感觉自己很渺小，日月交替，世事变迁，但这些典籍不变、不动，就仿佛一位千年的智者，在等着我去求问。。灯可照亮典籍，典籍如灯，可照亮他人。。				
1193	0	5星	 2021-02-14 14:08:49	 央视傲视群雄。				
Teletubbies	4	5星	 2021-05-23 00:30:44	 戏剧逻辑里，人物可以在多个时空中穿梭，且会被视为“真实发生”，但在电影里，这样的表现会被视为幻想或者超现实，有演绎色彩。有趣的是，戏剧这种艺术形式通过影像表现出来，观众仍会不自觉进入戏剧逻辑，因为在观看节目之前就已经假定了戏剧的前提。可见通过不同艺术形式形成的思维方式也可以自主选择。				
msazhou	0	5星	 2021-12-04 11:34:11	 丈夫当朝碧海而暮苍梧				
差不多小姐	0	5星	 2021-07-06 23:24:14	 精心打磨的一个文化节目，借着媒体技术，穿越千年，走进中国经典著作，了解典籍的前世今生。每一次看，都无比的震撼，满心的骄傲和满满的感动。这是向国人，世人宣传中国文化非常好的节目！				
翻开	0	5星	 2022-11-10 20:17:39	 圆先贤一个盛世如其所愿之梦				
雅风	0	5星	 2022-12-28 22:33:09	 演的太好了，每看必哭。伟大啊伟大！				
吉光片羽	0	5星	 2021-03-25 23:56:52	 央视爸爸封神				
易无安	1	5星	 2023-11-23 00:07:19	 分数还是低了，无论是从顾问的专业性，演技，舞美，音乐哪个方面看都是顶级的。随便一期充盈一下就是一部可以上院线的电影啊！				
Ciel4	0	5星	 2021-03-21 22:15:42	 中华文明，我为你自豪。				
起个什么昵称呢	8	5星	 2021-02-13 17:34:18	 看了第一期，觉得可以，央视的综艺总是那么高大上。				
KlauS	2	5星	 2021-03-07 22:28:27	 身为华夏之后裔，有愧于先贤之传承				
斩断阴影	0	5星	 2022-03-26 03:28:52	 棒				
FGer?	6	5星	 2021-02-16 00:49:43	 第一期就看哭了				
猪羊满圈9527	1	5星	 2021-02-18 17:28:00	 这个节目太高级了！！！！倪大红的一望千年让我泪流满面。感觉血液中流淌的都是民族的文化和国人的历史。				
猪身人面像	0	5星	 2021-06-11 15:13:14	 哭死我了！！！！！！太好看了！！！！！！！央视牛逼！！！！！				
南瓜大帝_	0	5星	 2021-11-03 00:25:38	 终于把《典籍里的中国》看完了，这是过去一年里，看过的所有影视或节目中，耗泪值最高的那个，又燃又虐。。这节目能把你眼睛变自来水，那就不得不让人当个自来水来安利下。。个人觉得最费泪的几期，屈原那期，李时珍那期，孙子兵法那期，司马迁那期，徐霞客那期……可以挑着看。。必须得说，戏骨们真厉害！				
Lime	0	5星	 2021-03-22 20:28:27	 看了司马迁著《史记》的那期，历史史实结合舞台表演，央视做文化类综艺真的厉害！				
自知???	0	5星	 2022-10-19 22:44:37	 明知是假的，就是忍不住流泪啊。				
超重爬爬鱼	2	5星	 2021-11-27 22:14:02	 每期都哭……				
郁郁	1	5星	 2022-01-15 22:11:41	 从第一期尚书开始就鸡皮疙瘩，央视爸爸大手笔，实景沉浸演出就是高级剧本杀啊哈哈哈哈				
Suyi	1	5星	 2023-10-22 11:39:28	 这就是舞台的魅力，很有感染力！！				
金陵十七妹	0	5星	 2021-10-23 12:31:29	 有的故事未必到位，演员绝了				
akiek	0	5星	 2023-01-08 19:31:19	 一集一哭，真的哭的我脑仁疼?倪大红 王学圻 王劲松老师真的都绝了。李时珍那期真的希望穿越是真的圆了李时珍的夙愿，太好哭了				
二十一枪	2	5星	 2021-08-07 21:43:12	 看了《孙子兵法》篇，甚好，孙武看到两千五百年，后人传诵他的兵法，感慨到:“可以告慰先人了”。小萨与古人千百年隔空对话，颇有创意。虽然有的情节表演有些浮夸，但依然瑕不掩瑜。				
Chris	1	5星	 2021-10-05 06:49:54	 绝了				
看剧达人	1	5星	 2022-08-17 07:59:24	 很喜欢这种演绎方式，让人印象深刻!				
Waterlily	0	5星	 2022-12-25 16:46:27	 古今对话挺动容				
观影者	1	5星	 2021-03-08 12:11:59	 这才是我心中真正的穿越时空				
李燃	1	5星	 2021-08-13 14:16:35	 中华典籍魅力如此之深沉，配上舞台剧的表演，力透纸背，传承永在啊。				
福贵	0	5星	 2021-03-15 21:17:07	 就冲着倪大红老师的表演，给满分！				
飞飞飞飞啊～	0	5星	 2023-06-30 19:52:39	 终于明白撒贝宁说的，泪点低的人不要看《典籍里的中国》，一部综艺竟让我热泪盈眶				
youngshy	0	5星	 2022-10-28 20:31:52	 唯一不满的是在古人面前秀现代社会的优越感（比如小撒对屈原说现在我们可以登上月球巴拉巴拉），大可不必。				
茹影随形	0	5星	 2021-07-05 16:04:35	 可能因为自己职业的缘故，看了李时珍那单元，特别有感动，本草纲目得来真不容易啊。短短一集，真的难以述说这里面的曲折辛苦。				
Rio不姓ma	0	5星	 2021-10-10 22:15:43	 有点像《一本好书》的形式，不算新颖，不过更聚焦于中国传统经典著作，特别这一季都是以作者学习和游历的记录为主的典籍，符合央妈“xxx里的中国”的系列定位，也算是传播中国传统文化的良心节目了。唯一不够良心的是，因为CCTV1这一年政治任务太重，一度都快变成季播节目，希望第二季不会吧，哈哈。				
赫兹	5	5星	 2021-02-16 06:37:13	 玩命的读书就好，别整太多综艺的东西，这个节目的受众不需要被娱乐，只想受教。				
蜗壳里的牛	0	5星	 2021-10-13 00:58:06	 所有人都应该看的一部片，对我国经典和典籍背后的作者故事有更多了解。。其中设计很巧妙的一件事是，让古人看到现代相关领域的发展，以告慰先人，非常非常温暖，也让人自豪。				
陈甚如	0	5星	 2021-11-03 17:25:26	 热泪盈眶				
pepe?	0	5星	 2021-10-13 17:30:36	 先贤心怀仁德，以身近道				
咪咪和嘎嘎	1	5星	 2021-08-05 00:54:40	 跨越千年的设定就很好哭				
猪猪要多看书	0	5星	 2023-12-26 16:36:05	 如果那些先贤大家真能穿越时空，到现今的中国来看看，只是不知他们会欣慰还是遗憾。				
睡nmd的起来嗨	0	5星	 2021-03-24 22:02:09	 穿越千年的对话，话剧代入式的演绎形式，让观者共情。让四书五经不再是晦涩难懂的文字，生动还原在屏幕上～！太经典了！搬的别人的评价，但是说明了一切。				
喵了个咪的	0	5星	 2021-12-06 13:26:41	 原来只有十一集，苦等了两个月还在等第十二集出炉，结果却是错付了。中国还有那么多的典籍需要剥丝抽茧细细品读，希望将这些都搬上舞台，让不再用国学开蒙的一代代人慢慢寻回自己的根脉。				
风埃袖满系轻舟	10	5星	 2021-02-13 19:16:53	 这不比春晚好看？				
vvc	1	5星	 2021-02-21 14:27:37	 演的好。				
及时行乐	0	5星	 2021-05-02 20:07:53	 知道我们的生命缘起何处，知道我们的脚步迈向何方。				
Tina_小滚	1	5星	 2022-02-06 14:39:00	 好棒！特别喜欢演员换装后照镜子的那段，一镜照古今?				
Candy	0	5星	 2024-01-07 15:23:16	 特别好的节目……看了三四期，好几次泪目，立意很好，演员演的也很好，把类似话剧表演的形式搬上综艺，联系古今，真的是很新颖的方式				
古兰丹穆	0	5星	 2021-09-11 23:25:37	 好久没看电视了…跟妈妈一起看…				
後會有期	0	5星	 2021-10-27 15:42:45	 文脉不断 我华夏永昌				
Yuimokin	0	5星	 2021-11-09 07:58:36	 非常好的科普节目。				
Miss.Q	0	5星	 2021-04-12 17:44:51	 此书与功名进取毫不相干也。				
我恨我是块木头	0	5星	 2022-02-28 14:35:21	 止戈为武				
禾希食反	0	5星	 2021-04-29 22:36:21	 倪大红老师一个神情就“杀”人啊，他实在是太好了。				
王哈哈	0	5星	 2022-07-02 14:39:28	 看哭了。				
有只老鱼儿	7	5星	 2021-02-15 20:28:43	 听伏生以命护书，动容落泪。惟殷先人，有典有册。戏剧+影视，好看！				
水乡林	0	5星	 2021-09-15 22:22:17	 宝藏综艺！节目组用心了，演技，配乐，编排都很不错 ！几乎很少落泪的我，有些片段几乎要流泪了 ！				
?	3	5星	 2023-02-16 12:50:03	 惟殷先人 有册有典 继往开来 山河表里 华夏文化 生生不息				
