品牌,型号,类型,tags,上牌时间(年),里程数(万公里),价格(万)
长安凯程,欧诺S 2019款 1.5L欧诺S舒适型国VI JL473QG,手动,|0次过户|,2020,6,2.58
五菱汽车,五菱EV50 2021款 厢式物流车慧视通宁德41.86kWh柳机电控,自动,|新上架||0次过户||原厂质保|,2021,6.8,4.68
东风风光,风光330 2019款 1.5L 330S 精典型国VI DK15,手动,|0次过户|,2020,5,1.98
长安凯程,长安之星2 2012款 1.0L基本型JL466Q9,手动,|0次过户|,2015,6,0.59
长安凯程,长安之星2 2012款 1.0L超值版JL465QH,手动,|0次过户|,2017,8,0.88
长安凯程,欧诺S 2014款 1.5L基本型,手动,|0次过户|,2015,8,0.98
长安欧尚,A600 2018款 1.5L 手动豪华型,手动,|0次过户|,2019,2,2.98
东风小康,C37 2012款 1.4L创业II型DK1306,手动,|0次过户|,2015,8,1.38
福田,蒙派克E 2017款 2.0L新快运长轴4Q20M,手动,|0次过户|,2020,4,3.98
长安凯程,长安之星S460 2009款 1.3L基本型,手动,|0次过户|,2012,8,0.58
本田,飞度 2018款 1.5L CVT舒适版,自动,|新上架||0次过户|,2018,3.5,4.05
马自达,CX5(进口) 2013款 180 Concept,变速箱,|新上架||0次过户|,2013,7.5,2.5
吉利汽车,帝豪 2018款 1.5L 手动豪华型,手动,||检测报告||有VIN码|,2018,6.24,2.0
凯迪拉克,XT5 2018款 25T 豪华型,自动,||检测报告||有VIN码|,2018,11.87,11.8
别克,君越 2019款 28T 豪华型,自动,||检测报告||有VIN码|,2019,11.17,11.0
DS,6 2014款 1.6T 豪华版THP200,自动,||检测报告||有VIN码|,2014,10.52,3.88
大众,甲壳虫 2013款 1.4TSI 时尚型,自动,||检测报告||有VIN码|,2013,9.24,6.0
大众,夏朗 2013款 1.8TSI 舒适型,自动,||检测报告||有VIN码|,2013,13.72,5.8
广汽传祺,传祺GS8 2017款 320T 两驱豪华智联版（七座）,自动,||检测报告||有VIN码|,2017,15.22,8
零跑汽车,零跑T03 2021款 400轻享版 三元锂,自动,||检测报告||有VIN码||原厂质保|,2021,2.95,4.68
凯迪拉克,XTS 2015款 28T 精英型,自动,||检测报告||有VIN码|,2015,6.40,8.98
凯迪拉克,CT5 2020款 改款 28T 领先运动型,自动,||检测报告||有VIN码|,2021,9.12,18.6
凯迪拉克,XT5 2018款 28T 四驱豪华型,自动,||检测报告||有VIN码|,2017,9.61,15.68
沃尔沃,S60 2017款 S60L T4 智远版,自动,||检测报告||有VIN码|,2017,7.92,8.98
福特,翼虎 2019款 EcoBoost 180 两驱铂翼型 国VI,自动,||检测报告||有VIN码|,2002,4.49,9.38
宝马,4系 2017款 425i M运动套装,自动,||检测报告||有VIN码|,2018,9.40,16.98
奔驰,C级 2017款 改款 C 200 L 运动版,自动,||检测报告||有VIN码|,2017,8.80,15.88
马自达,3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国VI,自动,||检测报告||有VIN码|,2017,6.77,4.68
宝马,X1 2018款 sDrive18Li 尊享型,自动,||检测报告||有VIN码|,2018,5.71,12.8
奔驰,S级 2014款 S 320 L 商务型,自动,||检测报告||有VIN码|,2015,14.70,36
奔驰,CLA 2018款 CLA 220 4MATIC,自动,||检测报告||有VIN码||新上架|,2018,6.05,15.6
奔驰,GLC 2020款 改款 GLC 300 L 4MATIC 动感型,自动,|检测报告||有VIN码||0次过户|,2020,8.1,32.58
吉利汽车,远景X6 2016款 1.3T CVT旗舰型,自动,|有VIN码||0次过户|,2016,8.8,3.25
上汽大通MAXUS,上汽MAXUS G10 2016款 2.0T 自动豪华版,自动,|有VIN码||0次过户|,2016,11.4,6.98
大众,Tiguan 2012款 2.0TSI 舒适版,自动,|有VIN码|,2012,9.8,4.9
奇瑞,艾瑞泽5 2016款 1.5L CVT领潮版,自动,|有VIN码||0次过户|,2017,7,2.88
吉利汽车,吉利GC7 2013款 1.5L 手动舒适型,手动,|有VIN码||0次过户|,2014,8.6,1.28
丰田,YARiS L 致享 2020款 1.5L CVT领先版,自动,|有VIN码||新上架||0次过户|,2020,3.53,5.38
荣威,550 2008款 1.8T 手自一体 品臻版,自动,|有VIN码|,2013,12,1.95
现代,北京ix35 2020款 2.0L 自动两驱智勇・畅享版,自动,|有VIN码||0次过户|,2020,2.7,8.58
日产,天籁 2019款 2.0T XL 智领版,自动,|有VIN码||0次过户|,2020,7.6,10.38
雪铁龙,C4L 2014款 1.8L 智驱版 手动劲享型,手动,|有VIN码||0次过户|,2014,9.9,2.68
长安,CS35 2017款 1.6L 自动豪华型,自动,|有VIN码||0次过户|,2019,4.3,4.38
红旗,H5 2018款 30TD 型动版,自动,|有VIN码||0次过户|,2019,5,6.98
长安,逸动 2015款 1.6L 手动精英型 国V,手动,|有VIN码||0次过户|,2016,8.2,1.98
雷诺,科雷傲(进口) 2013款 2.5L 两驱都市版,自动,|有VIN码||0次过户|,2013,15,3.48
奥迪,A6(进口) 2023款 allroad quattro 55 TFSI 尊享越野型,自动,|有VIN码||准新车||0次过户||原厂质保|,2023,2,47.8
长安,逸达 2023款 蓝鲸NE 1.5T GDI DCT旗舰型,自动,|有VIN码||准新车||0次过户||原厂质保|,2023,0.38,8.48
捷达,VS5 2021款 三十周年纪念版 自动悦享型,自动,|有VIN码||0次过户||原厂质保|,2021,0.94,7.48
大众,帕萨特 2017款 330TSI DSG尊荣版,自动,|有VIN码||0次过户|,2017,6.3,9.38
东风,俊风ER30 2018款 基本型,自动,|有VIN码||0次过户|,2019,5,2.68
大众,宝来 2012款 1.6L 自动时尚型,自动,|有VIN码||新上架||0次过户|,2011,11,1.88
哈弗,H6 2014款 运动版 2.0T 柴油 手动两驱尊贵型,手动,|有VIN码||0次过户|,2015,10,3.58
起亚,KX7 2017款 2.0T 自动四驱DLX 7座,自动,|有VIN码||新上架||0次过户|,2017,8.92,7.98
福特,福克斯 2012款 三厢 1.6L 手动舒适型,手动,|有VIN码||0次过户|,2013,11.6,1.98
吉利汽车,吉利GC7 2013款 1.5L 手动尊贵型,手动,|有VIN码||0次过户|,2014,11,0.98
现代,索纳塔 2014款 2.0L 自动尊贵版,自动,|有VIN码||0次过户|,2015,12,4.68
Jeep,指南者 2017款 200T 自动家享版,自动,|有VIN码||0次过户|,2018,18,5.08
猎豹汽车,猎豹CS10 2016款 2.0T 自动都市型,自动,|有VIN码||0次过户|,2017,10,2.48
标致,2008 2014款 1.6L 手动潮流版,手动,|有VIN码|,2015,7,1.98
长安凯程,欧诺S 2012款 1.5L豪华型,手动,|有VIN码||0次过户|,2016,15,1.48
名爵,6 2018款 20T 手动豪华智联版 国VI,手动,|有VIN码||0次过户|,2019,1,4.18
别克,英朗 2013款 GT 1.6L 自动舒适版,自动,|有VIN码||0次过户|,2013,21,1.78
领克,01 2017款 2.0T 两驱型Pro版,自动,|有VIN码||0次过户|,2019,11,7.18
众泰,Z700 2018款 Z700H 1.8T DCT豪华型,自动,|有VIN码||0次过户|,2019,4,3.98
现代,名驭 2009款 1.8L 手动舒适版GL,手动,|有VIN码||0次过户|,2017,12,1.58
福特,蒙迪欧致胜 2011款 2.3L 豪华型,自动,|有VIN码||0次过户|,2011,17,1.58
北汽幻速,S3 2014款 1.5L 豪华型,手动,|有VIN码||0次过户|,2014,12,0.98
长安,逸动XT 2013款 1.6L 手动尚酷型 国IV,手动,|有VIN码||0次过户|,2015,9,1.88
现代,北京ix35 2015款 2.0L 自动两驱舒适型 国IV,自动,|有VIN码||0次过户|,2015,15,3.98
起亚,福瑞迪 2011款 1.6L MT GL,手动,|有VIN码||0次过户|,2012,15,1.3
大众,高尔夫 2015款 1.6L 自动舒适型,自动,|有VIN码||0次过户|,2015,10,4.78
路虎,发现 2012款 5.0 V8 HSE,自动,|有VIN码|,2011,15,17.8
长安凯程,欧诺S 2013款 1.5L精英型,手动,|有VIN码||0次过户|,2014,9.2,0.98
东风风行,菱智 2021款 M5L 2.0L 实用型,手动,|有VIN码||准新车||0次过户||原厂质保|,2022,3.6,4.68
长城,风骏5 2016款 2.8T两驱进取型GW2.8TC大双排GW2.8TC,手动,|有VIN码||0次过户|,2016,8,3.18
奔驰,GLS 2017款 GLS 400 欧版,自动,|有VIN码||0次过户|,2018,14.6,52.8
奥迪,A6L 2005款 3.0L 技术领先型,自动,|有VIN码|,2007,12.63,2.15
金杯,金典 2014款 2.4T金典009 柴油舒适型短轴,手动,|有VIN码|,2014,10,1.48
福迪,雄师F16 2013款 2.8T柴油两驱豪华型CA4D28C41,手动,|有VIN码|,2013,12,1.28
长安凯程,长安之星9 2015款 1.5L 基本型4G15S,手动,|有VIN码||0次过户|,2018,8,1.98
长安欧尚,欧力威 2013款 1.2L 手动精英型,手动,|有VIN码|,2013,7,1.08
奥迪,A4L 2019款 40 TFSI 进取型 国VI,自动,|有VIN码||0次过户|,2019,5.5,15.68
哈弗,H2s 2017款 蓝标 1.5T 双离合精英型,自动,|有VIN码||0次过户|,2017,29,4.2
吉利汽车,远景 2017款 1.5L 自动幸福版,自动,|有VIN码|,2016,7.8,1.88
本田,冠道 2019款 240TURBO 两驱精英版,自动,|有VIN码||0次过户|,2019,4.8,10.3
金杯,海狮 2011款 2.0L第五代快运王舒适K型4G19,变速箱,|有VIN码|,2012,8.5,1.18
长安,逸动XT 2015款 1.6L 自动俊酷型 国V,自动,|有VIN码||0次过户|,2015,8.7,1.9
雪佛兰,迈锐宝 2013款 1.6T 自动舒适版,自动,|有VIN码||0次过户|,2014,8,2.88
宝马,3系 2017款 320Li 时尚型,自动,|有VIN码||0次过户|,2017,6.8,9.1
Jeep,自由光 2017款 2.0L 领先版,自动,|有VIN码||0次过户|,2018,5.6,4.99
别克,英朗 2016款 15N 自动进取型,自动,|有VIN码||0次过户|,2016,8.2,2.6
长安凯程,欧诺S 2012款 1.5L豪华型,手动,|有VIN码||0次过户|,2014,11,0.98
马自达,阿特兹 2014款 2.5L 蓝天至尊版,自动,|有VIN码||0次过户|,2015,11.7,6.58
大众,Polo 2011款 劲取 1.6L 手动实酷版,手动,|有VIN码||0次过户|,2012,13,1.58
五菱汽车,五菱宏光 2015款 1.5L 实用型7座,手动,|有VIN码|,2017,10,1.78
金杯,海狮 2015款 实用型,手动,|有VIN码|,2015,11,1.68
保时捷,Macan 2014款 Macan 2.0T,自动,|有VIN码|,2015,5.9,18.88
东风风光,风光MINIEV 2022款 糖果款 棒棒糖,自动,|有VIN码||准新车||0次过户||原厂质保|,2024,0.1,3.28
DS,6 2016款 1.6T 舒适版THP160,自动,|有VIN码||0次过户|,2016,7.3,3.2
福迪,揽福 2015款 1.9T 柴油两驱豪华版 7座,手动,|有VIN码||0次过户|,2016,10,2.86
雪铁龙,世嘉 2013款 三厢 1.6L 手动品尚型,手动,|有VIN码||0次过户|,2015,7,1.68
奥迪,Q5 2013款 40 TFSI 进取型,自动,|有VIN码||0次过户|,2013,11.3,5.98
路虎,揽胜极光 2015款 2.0T 五门智耀版,自动,|有VIN码|,2016,8.5,10.25
雪铁龙,世嘉 2010款 三厢 1.6L 自动尚乐版,自动,|有VIN码|,2010,12,1.28
金杯,海狮 2013款 2.0 手动 舒适型V19,手动,|有VIN码||0次过户|,2013,12,1.28
宝骏,730 2016款 1.5L 手动 豪华型7座,手动,|有VIN码|,2016,8,2.78
金杯,海狮 2015款 实用型,手动,|有VIN码||新上架||0次过户|,2016,8.9,1.48
哈弗,H6 2013款 运动版 1.5T 手动四驱都市型,手动,|有VIN码|,2013,7,1.88
别克,GL8 2018款 28T 豪华型 国VI,自动,|有VIN码|,2019,9.5,13.88
宝马,X1 2018款 sDrive18Li 尊享型,自动,|有VIN码||新上架||0次过户|,2017,9,8.98
别克,君威 2014款 1.6T 时尚技术型,自动,|有VIN码||0次过户|,2014,7,4.1
奥迪,A6L 2014款 TFSI 标准型,自动,|有VIN码||0次过户|,2014,14,11.38
日产,天籁 2019款 2.0L XL 舒适版,自动,|有VIN码||0次过户|,2019,6,7.28
本田,艾力绅 2012款 2.4L VTiS尊贵版,自动,|有VIN码||0次过户|,2014,14,8.78
大众,途昂X 2020款 改款 380TSI 四驱豪华版,自动,|有VIN码||0次过户|,2021,6.9,18.88
本田,杰德 2017款 1.8L 自动经典版 5座,自动,|有VIN码||0次过户|,2017,7.1,5.3
雪佛兰,科鲁兹 2015款 1.5L 经典 SE AT,自动,|有VIN码||0次过户|,2015,8.5,2
长安欧尚,X5 2021款 改款 1.5T DCT精英型,自动,|有VIN码||0次过户|,2020,3.5,2.98
吉利汽车,博越 2018款 1.8TD 自动两驱智联型4G互联版,自动,|有VIN码||0次过户|,2018,5.2,4.2
大众,途昂 2017款 380TSI 四驱舒适版,自动,|有VIN码||0次过户|,2018,5.5,16.28
长安欧尚,CX70 2016款 1.6L 手动豪华型,手动,|有VIN码||0次过户|,2016,6,3.28
凯迪拉克,XTS 2015款 28T 舒适型,自动,|0次过户|,2014,7.8,5.38
马自达,6 2006款 2.0L 自动超豪华型,自动,,2007,12,0.79
奥迪,A4L 2013款 35 TFSI 自动标准型,自动,,2012,9,4.65
奥迪,Q3 2013款 35 TFSI 进取型,自动,|新上架||0次过户|,2013,7.5,4.95
丰田,卡罗拉 2014款 TRD,变速箱,|新上架||0次过户|,2015,6.5,2.8
三菱,奕歌 2019款 1.5T CVT两驱梦想版 国V,自动,|0次过户|,2019,5.7,5.88
标致,508 2015款 1.8THP 自动致臻版,自动,|0次过户|,2014,10.2,3.48
